"Model","RMSE_LOOCV","Rsq_LOOCV","MAE_LOOCV"
"rf",3.06000628586646,0.857766911561376,2.53625055555555
"glmnet",2.3655043013965,0.882568787225658,2.14856231777424
"knn",2.45498472500337,0.853680643435736,1.80611111111109
