"Family","metagenomeSeq_n_sig","DESeq2_n_sig","ANCOM-BC2_n_sig","metagenomeSeq_site_enriched","DESeq2_site_enriched","ANCOM-BC2_site_enriched","LEfSe_LDA","LEfSe_enriched","LEfSe_sig"
"Halomicrobiaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Halomonadaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Hydrogenedensaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Intrasporangiaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"KF-JG30-B3",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Lutibaculaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Methyloligellaceae",1,1,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Micavibrionaceae",1,1,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Myxococcaceae",1,1,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Oligoflexaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Peptostreptococcaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Porticoccaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Propionibacteriaceae",1,1,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Saccharospirillaceae",1,1,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Salinisphaeraceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Sedimenticolaceae",1,1,NA,"ColaDeBallena","ColaDeBallena",NA,NA,NA,NA
"Trueperaceae",1,1,NA,"EsteroZacatecas","EsteroZacatecas",NA,NA,NA,NA
"Ardenticatenaceae",1,NA,NA,"ColaDeBallena",NA,NA,NA,NA,NA
"C2U",1,NA,NA,"EsteroZacatecas",NA,NA,NA,NA,NA
"Caulobacteraceae",1,NA,NA,"ColaDeBallena",NA,NA,NA,NA,NA
"Marinomonadaceae",1,NA,NA,"EsteroZacatecas",NA,NA,NA,NA,NA
"Mycobacteriaceae",1,NA,NA,"EsteroZacatecas",NA,NA,NA,NA,NA
"Nitrosomonadaceae",1,NA,NA,"ColaDeBallena",NA,NA,NA,NA,NA
"Phormidiaceae",1,NA,NA,"EsteroZacatecas",NA,NA,3.14999608685561,"EsteroZacatecas","*"
"Pseudobdellovibrionaceae",1,NA,NA,"EsteroZacatecas",NA,NA,NA,NA,NA
"Thalassospiraceae",1,NA,NA,"ColaDeBallena",NA,NA,NA,NA,NA
"Desulfatirhabdiaceae",NA,1,NA,NA,"ColaDeBallena",NA,NA,NA,NA
"KI89A_clade",NA,1,NA,NA,"ColaDeBallena",NA,NA,NA,NA
"Longimicrobiaceae",NA,1,NA,NA,"EsteroZacatecas",NA,NA,NA,NA
"Marinifilaceae",NA,1,NA,NA,"ColaDeBallena",NA,NA,NA,NA
"Nodosilineaceae",NA,1,NA,NA,"EsteroZacatecas",NA,NA,NA,NA
