sample-id	group
FCBAG1	CB_Feb
FCBAG2	CB_Feb
FCBAG3	CB_Feb
FCBAG4	CB_Feb
FCBAG5	CB_Feb
FCBAG6	CB_Feb
FEZAG1	EZ_Feb
FEZAG2	EZ_Feb
FEZAG3	EZ_Feb
FEZAG4	EZ_Feb
FEZAG5	EZ_Feb
FEZAG6	EZ_Feb
SCBAG1	CB_Sep
SCBAG2	CB_Sep
SCBAG3	CB_Sep
SCBAG4	CB_Sep
SCBAG5	CB_Sep
SCBAG6	CB_Sep
SEZAG1	EZ_Sep
SEZAG2	EZ_Sep
SEZAG3	EZ_Sep
SEZAG4	EZ_Sep
SEZAG5	EZ_Sep
SEZAG6	EZ_Sep
