"","Comparison","Taxa","Method","Group","P.unadj","P.adj","Significance"
"171","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1|s__|ASV_3310","Wilcoxon Rank Sum Test","ColaDeBallena",0.00894515268461722,0.0331685275853851,"*"
"172","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfobulbaceae|g__|s__|ASV_9756","Wilcoxon Rank Sum Test","ColaDeBallena",0.000125308727883931,0.00318236882512776,"**"
"173","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_14533","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00705410240068292,0.0268975122700261,"*"
"174","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_67","Wilcoxon Rank Sum Test","ColaDeBallena",0.000383391726577478,0.00567082707662951,"**"
"175","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae|g__Geodermatophilus|s__|ASV_7953","Wilcoxon Rank Sum Test","ColaDeBallena",0.188460418064876,0.249182438816624,"ns"
"176","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae|g__Rubrivirga|s__|ASV_5056","Wilcoxon Rank Sum Test","ColaDeBallena",0.81628527854683,0.852381679537651,"ns"
"177","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Altererythrobacter|s__|ASV_2841","Wilcoxon Rank Sum Test","ColaDeBallena",0.897417473577621,0.91717837466627,"ns"
"178","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_12846","Wilcoxon Rank Sum Test","ColaDeBallena",0.000383391726577478,0.00567082707662951,"**"
"179","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__|s__|ASV_2528","Wilcoxon Rank Sum Test","ColaDeBallena",0.000125308727883931,0.00318236882512776,"**"
"180","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius|s__|ASV_4361","Wilcoxon Rank Sum Test","ColaDeBallena",0.680534595205075,0.728139558939611,"ns"
"181","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1|s__|ASV_3786","Wilcoxon Rank Sum Test","ColaDeBallena",3.75846071382431e-05,0.00187366226696575,"**"
"182","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_12667","Wilcoxon Rank Sum Test","ColaDeBallena",0.976345080500829,0.987348218147345,"ns"
"183","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Gramella|s__|ASV_3911","Wilcoxon Rank Sum Test","ColaDeBallena",1.41913958889126e-05,0.00187366226696575,"**"
"184","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__|s__|ASV_2700","Wilcoxon Rank Sum Test","ColaDeBallena",0.948602206625559,0.962184303027884,"ns"
"185","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Limibacillus|s__|ASV_7263","Wilcoxon Rank Sum Test","ColaDeBallena",0.0447295354021235,0.0843220653378966,"ns"
"186","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae|g__Ilumatobacter|s__|ASV_9292","Wilcoxon Rank Sum Test","EsteroZacatecas",0.00108433256167357,0.010425083057233,"*"
"187","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__|s__|ASV_14973","Wilcoxon Rank Sum Test","ColaDeBallena",0.171935565414634,0.229588562547716,"ns"
"188","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Tunicatimonas|s__|ASV_1480","Wilcoxon Rank Sum Test","EsteroZacatecas",3.75846071382431e-05,0.00187366226696575,"**"
"189","ColaDeBallena - EsteroZacatecas","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Actibacterium|s__|ASV_9665","Wilcoxon Rank Sum Test","EsteroZacatecas",3.75846071382431e-05,0.00187366226696575,"**"
