"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"49","lm formula for season+site","k__Bacteria|p__Thermodesulfobacteriota","siteEsteroZacatecas",NA,-0.0547245668148315,0.0171070979326145,0.00431412165635408,"**"
"50","lm formula for season+site","k__Bacteria|p__Myxococcota","Model","R2: 0.520444346974218; adjusted R2: 0.474772380019382",NA,NA,NA,NA
"51","lm formula for season+site","k__Bacteria|p__Myxococcota","season",NA,NA,NA,0.252307689699305,"ns"
"52","lm formula for season+site","k__Bacteria|p__Myxococcota","site",NA,NA,NA,0.000145397269950908,"***"
"53","lm formula for season+site","k__Bacteria|p__Myxococcota","Residuals",NA,NA,NA,NA,NA
"54","lm formula for season+site","k__Bacteria|p__Myxococcota","(Intercept)",NA,0.175555339273505,0.0172248474379312,1.3872500898662e-09,"***"
"55","lm formula for season+site","k__Bacteria|p__Myxococcota","seasonSeptember",NA,-0.0234128742802241,0.0198895406100797,0.252307689699305,"ns"
"56","lm formula for season+site","k__Bacteria|p__Myxococcota","siteEsteroZacatecas",NA,-0.0920197445983315,0.0198895406100797,0.000145397269950909,"***"
"57","lm formula for season+site","k__Bacteria|p__Planctomycetota","Model","R2: 0.824275394887088; adjusted R2: 0.807539718209668",NA,NA,NA,NA
"58","lm formula for season+site","k__Bacteria|p__Planctomycetota","season",NA,NA,NA,2.71084760848981e-09,"***"
"59","lm formula for season+site","k__Bacteria|p__Planctomycetota","site",NA,NA,NA,0.145889723210804,"ns"
"60","lm formula for season+site","k__Bacteria|p__Planctomycetota","Residuals",NA,NA,NA,NA,NA
"61","lm formula for season+site","k__Bacteria|p__Planctomycetota","(Intercept)",NA,0.175807640593671,0.00997655746543408,4.6378044151096e-14,"***"
"62","lm formula for season+site","k__Bacteria|p__Planctomycetota","seasonSeptember",NA,-0.113003721213747,0.0115199362765083,2.71084760848982e-09,"***"
"63","lm formula for season+site","k__Bacteria|p__Planctomycetota","siteEsteroZacatecas",NA,-0.0173975797625775,0.0115199362765083,0.145889723210804,"ns"
"64","lm formula for season+site","k__Bacteria|p__Chloroflexota","Model","R2: 0.414008924599148; adjusted R2: 0.358200250751448",NA,NA,NA,NA
"65","lm formula for season+site","k__Bacteria|p__Chloroflexota","season",NA,NA,NA,0.00145123520562454,"**"
"66","lm formula for season+site","k__Bacteria|p__Chloroflexota","site",NA,NA,NA,0.246422181616134,"ns"
"67","lm formula for season+site","k__Bacteria|p__Chloroflexota","Residuals",NA,NA,NA,NA,NA
"68","lm formula for season+site","k__Bacteria|p__Chloroflexota","(Intercept)",NA,0.130618509308543,0.0131251115754793,2.10833272349273e-09,"***"
"69","lm formula for season+site","k__Bacteria|p__Chloroflexota","seasonSeptember",NA,-0.0555095817605896,0.0151555734024938,0.00145123520562454,"**"
"70","lm formula for season+site","k__Bacteria|p__Chloroflexota","siteEsteroZacatecas",NA,0.0180708092106454,0.0151555734024938,0.246422181616135,"ns"
