"","Taxa","Method","Group","Letter","Significance"
"72","k__Bacteria|p__Gemmatimonadota|c__Longimicrobiia","anova","EsteroZacatecas","a","a"
"73","k__Bacteria|p__Balneolota|c__Balneolia","anova","ColaDeBallena","a","a"
"74","k__Bacteria|p__Balneolota|c__Balneolia","anova","EsteroZacatecas","b","b"
"75","k__Bacteria|p__Bacillota|c__Bacilli","anova","EsteroZacatecas","a","a"
"76","k__Bacteria|p__Bacillota|c__Bacilli","anova","ColaDeBallena","a","a"
"77","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","anova","ColaDeBallena","a","a"
"78","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales","anova","EsteroZacatecas","a","a"
"79","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","anova","ColaDeBallena","a","a"
"80","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales","anova","EsteroZacatecas","a","a"
"81","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","anova","EsteroZacatecas","a","a"
"82","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","anova","ColaDeBallena","a","a"
"83","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","anova","EsteroZacatecas","a","a"
"84","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales","anova","ColaDeBallena","a","a"
"85","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","anova","EsteroZacatecas","a","a"
"86","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales","anova","ColaDeBallena","b","b"
"87","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","anova","ColaDeBallena","a","a"
"88","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales","anova","EsteroZacatecas","a","a"
"89","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","anova","EsteroZacatecas","a","a"
"90","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales","anova","ColaDeBallena","b","b"
"91","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","anova","ColaDeBallena","a","a"
"92","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales","anova","EsteroZacatecas","b","b"
"93","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","anova","ColaDeBallena","a","a"
"94","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales","anova","EsteroZacatecas","b","b"
"95","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","anova","EsteroZacatecas","a","a"
"96","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales","anova","ColaDeBallena","a","a"
