"","metagenomeSeq","DESeq2","edgeR","ancombc2","linda","metagenomeSeq-DESeq2","metagenomeSeq-edgeR","metagenomeSeq-ancombc2","metagenomeSeq-linda","DESeq2-edgeR","ancombc2-linda","linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR","metagenomeSeq-edgeR-linda","metagenomeSeq-ancombc2-linda","metagenomeSeq-DESeq2-edgeR-linda","metagenomeSeq-DESeq2-ancombc2-linda","metagenomeSeq-DESeq2-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-linda-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","ALDEx2_kw-DESeq2-edgeR-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-ancombc2-linda-GMPR_wilcox-Wrench_wilcox","metagenomeSeq-ALDEx2_t-ALDEx2_kw-DESeq2-edgeR-ancombc2-linda-GMPR_wilcox-Wrench_wilcox"
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae",0,0,0,0.0666666666666667,0.01875,0,0,0,0,0,0.0357142857142857,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0.2,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae",0,0,0,0,0.0125,0,0,0,0.0588235294117647,0,0.0714285714285714,0,0.0144927536231884,0,0.136363636363636,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae",0.0434782608695652,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0.0579710144927536,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae",0.0434782608695652,0.0208333333333333,0,0,0,0.0769230769230769,0,0.2,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae",0,0,0,0,0.01875,0,0,0,0,0,0,0.25,0,0,0.0454545454545455,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Microtrichaceae",0,0,0.142857142857143,0,0.00625,0.0256410256410256,0,0,0,0,0.0357142857142857,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Frankiales|f__Geodermatophilaceae",0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae",0.0434782608695652,0.0416666666666667,0,0.0666666666666667,0.01875,0,0,0,0.0588235294117647,0,0,0,0.0144927536231884,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae",0.0434782608695652,0.0625,0,0,0.00625,0.0769230769230769,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae",0,0.0416666666666667,0,0,0,0.0512820512820513,0,0,0,0.166666666666667,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae",0.0869565217391304,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae",0,0.0208333333333333,0,0,0,0.0256410256410256,0,0,0,0,0,0,0.0289855072463768,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Devosiaceae",0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Cryomorphaceae",0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Iamiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Spongiibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae",0,0,0.142857142857143,0,0,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae",0,0.0416666666666667,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae",0,0,0,0.0666666666666667,0,0,0.1,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
