"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"15","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","site",NA,NA,NA,0.00367963282026375,"**"
"16","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","(Intercept)",NA,-2.20585973896823,0.142671107495145,6.34530774684046e-54,"***"
"17","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","seasonSeptember",NA,-1.69996108125959,0.219467750046858,9.49554055115353e-15,"***"
"18","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","siteEsteroZacatecas",NA,0.522486209018022,0.179895007328961,0.00367963282026375,"**"
"19","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","Model","Ferrari's R2: 0.645250998752617",NA,NA,NA,NA
"20","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","season",NA,NA,NA,2.69512658783769e-09,"***"
"21","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","site",NA,NA,NA,0.114055945909026,"ns"
"22","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","(Intercept)",NA,-3.20631110723474,0.133679951994598,3.98963716987874e-127,"***"
"23","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","seasonSeptember",NA,0.868384625232887,0.145967462657323,2.69512658783767e-09,"***"
"24","glmm_beta formula for season+site","k__Bacteria|p__Rhodothermota|c__Rhodothermia|o__Rhodothermales|f__Rhodothermaceae","siteEsteroZacatecas",NA,0.217058610270792,0.137359533444971,0.114055945909026,"ns"
"25","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","Model","Ferrari's R2: 0.690726409225409",NA,NA,NA,NA
"26","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","season",NA,NA,NA,0.827612095088173,"ns"
"27","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","site",NA,NA,NA,1.52467956064988e-14,"***"
"28","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","(Intercept)",NA,-3.16452034601484,0.0934018025837303,1.28113781665834e-251,"***"
"29","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","seasonSeptember",NA,-0.020189791574726,0.0927136003511882,0.827612095088173,"ns"
"30","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae","siteEsteroZacatecas",NA,0.750933506939017,0.0977085464078709,1.52467956064987e-14,"***"
"31","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","Model","Ferrari's R2: 0.74033404645539",NA,NA,NA,NA
"32","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","season",NA,NA,NA,1.905126965856e-10,"***"
"33","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","site",NA,NA,NA,0.00441762672125974,"**"
"34","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","(Intercept)",NA,-3.64766426875141,0.277760838024556,2.14763227096043e-39,"***"
"35","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","seasonSeptember",NA,1.73151317495947,0.271874316069318,1.905126965856e-10,"***"
"36","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae","siteEsteroZacatecas",NA,-0.640204555540223,0.22489431869284,0.00441762672125974,"**"
"37","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","Model","Ferrari's R2: 0.821156132062553",NA,NA,NA,NA
"38","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","season",NA,NA,NA,2.46538751837182e-16,"***"
"39","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","site",NA,NA,NA,1.51118601885577e-06,"***"
"40","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","(Intercept)",NA,-3.57372461789375,0.167477271927832,4.97999626979784e-101,"***"
"41","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","seasonSeptember",NA,1.42390341633245,0.173711120220199,2.46538751837182e-16,"***"
"42","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","siteEsteroZacatecas",NA,-0.732191151916415,0.152230580598851,1.51118601885577e-06,"***"
"43","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","Model","Ferrari's R2: 0.997045161597869",NA,NA,NA,NA
"44","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","season",NA,NA,NA,0.92123429120544,"ns"
"45","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","site",NA,NA,NA,1.4839725757336e-16,"***"
"46","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","(Intercept)",NA,-6.1475670962681,0.530266575565247,4.45355257018978e-31,"***"
"47","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","seasonSeptember",NA,0.0353489056641785,0.357496358718282,0.92123429120544,"ns"
"48","glmm_beta formula for season+site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","siteEsteroZacatecas",NA,3.74891486926867,0.453985380716592,1.48397257573362e-16,"***"
"49","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","Model","Ferrari's R2: 0.09321636804828",NA,NA,NA,NA
"50","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","season",NA,NA,NA,0.608509697536756,"ns"
"51","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","site",NA,NA,NA,0.121351824407778,"ns"
"52","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","(Intercept)",NA,-3.32937586913629,0.219255176865142,4.44996085430912e-52,"***"
"53","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","seasonSeptember",NA,-0.132396207261361,0.258484401105207,0.608509697536757,"ns"
"54","glmm_beta formula for season+site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","siteEsteroZacatecas",NA,0.405331845445496,0.261652228812853,0.121351824407778,"ns"
"55","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","Model","Ferrari's R2: 0.74424399053593",NA,NA,NA,NA
"56","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","season",NA,NA,NA,1.55415135944214e-08,"***"
"57","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","site",NA,NA,NA,0.000146787441348796,"***"
"58","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","(Intercept)",NA,-3.49885778227176,0.159795965268068,2.84966785778622e-106,"***"
"59","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","seasonSeptember",NA,0.924438765727998,0.163459061608484,1.55415135944214e-08,"***"
"60","glmm_beta formula for season+site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","siteEsteroZacatecas",NA,-0.591349177131731,0.155764031918758,0.000146787441348796,"***"
"61","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","Model","Ferrari's R2: 0.0273573519011782",NA,NA,NA,NA
"62","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","season",NA,NA,NA,0.657475309184149,"ns"
"63","glmm_beta formula for season+site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","site",NA,NA,NA,0.754872937712531,"ns"
