"","Method","Taxa","Factors","R2","Estimate","Std.Error","P.unadj","Significance"
"28","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Nitriliruptorales|f__Nitriliruptoraceae","siteEsteroZacatecas",NA,-0.72467987842741,0.289085664961919,0.0121829703447287,"*"
"29","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","Model","Ferrari's R2: 0.997109715641674",NA,NA,NA,NA
"30","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","site",NA,NA,NA,1.49202188437072e-16,"***"
"31","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","(Intercept)",NA,-6.12878956473061,0.495431577373997,3.76959692651392e-35,"***"
"32","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae","siteEsteroZacatecas",NA,3.74791389125419,0.45389966671911,1.49202188437072e-16,"***"
"33","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","Model","Ferrari's R2: 0.0980258003819155",NA,NA,NA,NA
"34","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","site",NA,NA,NA,0.144370743488369,"ns"
"35","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","(Intercept)",NA,-3.37288334215047,0.203062414493764,5.89126859844504e-62,"***"
"36","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae","siteEsteroZacatecas",NA,0.370610050217372,0.253893532598526,0.144370743488369,"ns"
"37","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","Model","Ferrari's R2: 0.28483067095665",NA,NA,NA,NA
"38","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","site",NA,NA,NA,0.000652783369349095,"***"
"39","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","(Intercept)",NA,-2.87699437144599,0.139579841786634,2.15000635972187e-94,"***"
"40","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae","siteEsteroZacatecas",NA,-0.784235988653087,0.230070381803476,0.000652783369349096,"***"
"41","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","Model","Ferrari's R2: 0.0115955307970024",NA,NA,NA,NA
"42","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","site",NA,NA,NA,0.610690247121738,"ns"
"43","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","(Intercept)",NA,-3.61734547409769,0.145138092844436,4.14199010307201e-137,"***"
"44","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__Ilumatobacteraceae","siteEsteroZacatecas",NA,0.0992424492895771,0.194941477857881,0.610690247121738,"ns"
"45","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","Model","Ferrari's R2: 0.00912508219549205",NA,NA,NA,NA
"46","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","site",NA,NA,NA,0.695741969693522,"ns"
"47","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","(Intercept)",NA,-3.96670702572131,0.324062167336222,1.88692807822784e-34,"***"
"48","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteriaceae","siteEsteroZacatecas",NA,0.141580902427652,0.362030265163808,0.695741969693522,"ns"
"49","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","Model","Ferrari's R2: 0.386837571705784",NA,NA,NA,NA
"50","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","site",NA,NA,NA,2.10186345042933e-13,"***"
"51","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","(Intercept)",NA,-3.38382165733001,0.231959914010328,3.35074034164247e-48,"***"
"52","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae","siteEsteroZacatecas",NA,-3.25634346010965,0.44351348477248,2.10186345042933e-13,"***"
"53","glmm_beta formula for site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","Model","Ferrari's R2: 0.150956689073723",NA,NA,NA,NA
"54","glmm_beta formula for site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","site",NA,NA,NA,2.3525840811625e-08,"***"
"55","glmm_beta formula for site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","(Intercept)",NA,-3.53215689645097,0.198283418509961,5.53505487021176e-71,"***"
"56","glmm_beta formula for site","k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae","siteEsteroZacatecas",NA,-2.18148281114869,0.390677537601268,2.3525840811625e-08,"***"
"57","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","Model","Ferrari's R2: 0.198930960666559",NA,NA,NA,NA
"58","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","site",NA,NA,NA,0.0212474117753049,"*"
"59","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","(Intercept)",NA,-4.63711383097372,0.219661138544247,6.395740544994e-99,"***"
"60","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae","siteEsteroZacatecas",NA,0.601188761864105,0.260982576359174,0.0212474117753048,"*"
"61","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","Model","Ferrari's R2: 0.440478561020016",NA,NA,NA,NA
"62","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","site",NA,NA,NA,0.000559880891230347,"***"
"63","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","(Intercept)",NA,-4.16473503745254,0.203001334720788,1.55583820926171e-93,"***"
"64","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae","siteEsteroZacatecas",NA,-1.14159791933182,0.330865338530069,0.000559880891230349,"***"
"65","glmm_beta formula for site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","Model","Ferrari's R2: 0.0394335827249523",NA,NA,NA,NA
"66","glmm_beta formula for site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","site",NA,NA,NA,0.0247209798796674,"*"
"67","glmm_beta formula for site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","(Intercept)",NA,-4.2618058871531,0.323586407998848,1.29676687461714e-39,"***"
"68","glmm_beta formula for site","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae","siteEsteroZacatecas",NA,-0.867193501756716,0.386151286479205,0.0247209798796673,"*"
"69","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","Model","Ferrari's R2: 0.358291159496137",NA,NA,NA,NA
"70","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","site",NA,NA,NA,0.000174433787107626,"***"
"71","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","(Intercept)",NA,-5.1224406994732,0.191624888279762,2.0207954924503e-157,"***"
"72","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__Neomegalonemataceae","siteEsteroZacatecas",NA,0.838975872457789,0.223522667112558,0.000174433787107625,"***"
"73","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","Model","Ferrari's R2: 0.0881776959775634",NA,NA,NA,NA
"74","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","site",NA,NA,NA,0.000114158833156288,"***"
"75","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","(Intercept)",NA,-4.1767251222364,0.2574002041659,3.27186220468362e-59,"***"
"76","glmm_beta formula for site","k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Micrococcales|f__Intrasporangiaceae","siteEsteroZacatecas",NA,-1.48836105124785,0.385751458389501,0.000114158833156288,"***"
"77","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","Model","Ferrari's R2: 0.0567745158624612",NA,NA,NA,NA
"78","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","site",NA,NA,NA,0.286091465787495,"ns"
"79","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","(Intercept)",NA,-4.8959678448443,0.260603061068417,9.63552448278516e-79,"***"
"80","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Steroidobacterales|f__Woeseiaceae","siteEsteroZacatecas",NA,0.32977833601715,0.309147352021109,0.286091465787494,"ns"
"81","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","Model","Ferrari's R2: 1.79097435106696e-05",NA,NA,NA,NA
"82","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","site",NA,NA,NA,0.984956793180765,"ns"
"83","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","(Intercept)",NA,-4.79563773718102,0.267823208108227,1.05909181544261e-71,"***"
"84","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobulbia|o__Desulfobulbales|f__Desulfocapsaceae","siteEsteroZacatecas",NA,0.00615763701980171,0.326578798992053,0.984956793180765,"ns"
"85","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","Model","Ferrari's R2: 9.55537913858634e-05",NA,NA,NA,NA
"86","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","site",NA,NA,NA,0.942589502316532,"ns"
"87","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","(Intercept)",NA,-4.80003121796223,0.580501398815693,1.35350698130356e-16,"***"
"88","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Vibrionaceae","siteEsteroZacatecas",NA,-0.0292681848402307,0.406414576237587,0.942589502316532,"ns"
"89","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","Model","Ferrari's R2: 0.199470232100163",NA,NA,NA,NA
"90","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","site",NA,NA,NA,3.87733911772508e-12,"***"
"91","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","(Intercept)",NA,-4.29836759254891,0.187753856074185,5.37705174510987e-116,"***"
"92","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae","siteEsteroZacatecas",NA,-2.94141834917323,0.423738923039488,3.87733911772508e-12,"***"
"93","glmm_beta formula for site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","Model","Ferrari's R2: 0.516443034945181",NA,NA,NA,NA
"94","glmm_beta formula for site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","site",NA,NA,NA,2.12385979061046e-06,"***"
"95","glmm_beta formula for site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","(Intercept)",NA,-5.66639503643199,0.206354900041227,5.35595006772024e-166,"***"
"96","glmm_beta formula for site","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Aggregatilineales|f__A4b","siteEsteroZacatecas",NA,1.10208435344745,0.232445122734201,2.12385979061046e-06,"***"
"97","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","Model","Ferrari's R2: 0.0624628323395147",NA,NA,NA,NA
"98","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","site",NA,NA,NA,0.00210090910538736,"**"
"99","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","(Intercept)",NA,-4.55784025594611,0.28480732467871,1.21293026008103e-57,"***"
"100","glmm_beta formula for site","k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae","siteEsteroZacatecas",NA,-1.17893837372753,0.383321823164945,0.00210090910538737,"**"
"101","glmm_beta formula for site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","Model","Ferrari's R2: 0.0204510250921147",NA,NA,NA,NA
"102","glmm_beta formula for site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","site",NA,NA,NA,0.509346987628489,"ns"
"103","glmm_beta formula for site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","(Intercept)",NA,-4.88751773687115,0.271327260443306,1.53028345659269e-72,"***"
"104","glmm_beta formula for site","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae","siteEsteroZacatecas",NA,-0.22277902498831,0.337618233318093,0.509346987628489,"ns"
"105","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","Model","Ferrari's R2: 0.104685899271742",NA,NA,NA,NA
"106","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","site",NA,NA,NA,0.0144413512679397,"*"
"107","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","(Intercept)",NA,-4.64072038501669,0.507368153277627,5.87248418895762e-20,"***"
"108","glmm_beta formula for site","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prolixibacteraceae","siteEsteroZacatecas",NA,-1.00174771286057,0.409529595224223,0.0144413512679397,"*"
"109","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","Model","Ferrari's R2: 0.438120708875684",NA,NA,NA,NA
"110","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","site",NA,NA,NA,6.92062296689529e-05,"***"
"111","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","(Intercept)",NA,-6.22782712914907,0.658181552152754,3.01611596992993e-21,"***"
"112","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae","siteEsteroZacatecas",NA,1.65690637055541,0.41641293535047,6.92062296689528e-05,"***"
"113","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","Model","Ferrari's R2: 0.160837757208534",NA,NA,NA,NA
"114","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","site",NA,NA,NA,5.87779301460169e-05,"***"
"115","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","(Intercept)",NA,-6.26618188305033,0.466323361656812,3.64950279889263e-41,"***"
"116","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae","siteEsteroZacatecas",NA,1.64418381848843,0.409238757783487,5.87779301460168e-05,"***"
"117","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","Model","Ferrari's R2: 0.840821919526166",NA,NA,NA,NA
"118","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","site",NA,NA,NA,3.63534236213256e-06,"***"
"119","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","(Intercept)",NA,-6.67129981113586,0.676092932939594,5.76219161211192e-23,"***"
"120","glmm_beta formula for site","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales|f__Phormidesmiaceae","siteEsteroZacatecas",NA,1.93741765357397,0.418339373759801,3.63534236213256e-06,"***"
"121","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","Model","Ferrari's R2: 0.0531030592309165",NA,NA,NA,NA
"122","glmm_beta formula for site","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Halieaceae","site",NA,NA,NA,0.00560001153701855,"**"
