"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_10",0.0289855072463768,0,0,0,0.0256410256410256,0.00854700854700855,0,0.0104166666666667,0,0.0555555555555556,0.0263157894736842,0.0175438596491228,0,0.00490196078431373
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae|g__Nocardioides",0,0,0,0,0,0.0683760683760684,0,0,0.0645161290322581,0,0,0.0350877192982456,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Silicimonas",0,0,0,0,0,0,0.125,0,0,0,0.0263157894736842,0,0,0.00980392156862745
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__|f__|g__",0.0144927536231884,0.0384615384615385,0,0,0,0.0341880341880342,0,0.015625,0,0.0277777777777778,0.0263157894736842,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Limibaculum",0,0.0128205128205128,0,0,0.0256410256410256,0,0,0.00520833333333333,0,0.0277777777777778,0.0263157894736842,0.0175438596491228,0.0217391304347826,0.0196078431372549
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Cellvibrionaceae|g__",0,0,0,0,0,0.00854700854700855,0,0,0.0645161290322581,0.0277777777777778,0,0.0175438596491228,0.0217391304347826,0.00980392156862745
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__",0,0.0128205128205128,0,0,0.0256410256410256,0.0170940170940171,0,0.00520833333333333,0,0,0.0526315789473684,0,0.0217391304347826,0.0147058823529412
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Aurantiacibacter",0.0144927536231884,0,0.0434782608695652,0,0.0256410256410256,0,0,0.00520833333333333,0,0,0.0263157894736842,0,0,0.0294117647058824
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__",0.0144927536231884,0.0256410256410256,0,0,0,0,0,0.0364583333333333,0,0.0277777777777778,0,0,0.0217391304347826,0.0147058823529412
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__|f__|g__",0,0,0,0.037037037037037,0,0.0170940170940171,0,0.00520833333333333,0,0,0,0.0526315789473684,0.0217391304347826,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Pseudahrensia",0,0,0,0.111111111111111,0,0,0,0,0,0,0.0263157894736842,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Rhizobiaceae|g__Oricola",0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.00980392156862745
"k__Bacteria|p__Myxococcota|c__Polyangiia|o__Polyangiales|f__Sandaracinaceae|g__",0,0,0,0,0,0.0683760683760684,0,0,0.032258064516129,0,0,0.0175438596491228,0,0.0147058823529412
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales|f__Gimesiaceae|g__",0.0289855072463768,0,0,0,0,0.00854700854700855,0,0.00520833333333333,0,0.0833333333333333,0,0,0,0.00490196078431373
