"","Comparison","Taxa","logFC","logCPM","P.unadj","P.adj","Significance","Method"
"3091","September_ColaDeBallena - September_EsteroZacatecas","CATECHOL-ORTHO-CLEAVAGE-PWY|CATECHOL-ORTHO-CLEAVAGE-PWY",0.14349258801854,7.77098277822547,0.655593860057158,0.810893968817393,"","edgeR"
"3092","September_ColaDeBallena - September_EsteroZacatecas","GLUCONEO-PWY|GLUCONEO-PWY",-0.0205578185771422,12.2283697665295,0.65700179291885,0.810893968817393,"","edgeR"
"3093","September_ColaDeBallena - September_EsteroZacatecas","PWY-5659|PWY-5659",0.0204995158566425,12.577259559512,0.657605883974785,0.810893968817393,"","edgeR"
"3094","September_ColaDeBallena - September_EsteroZacatecas","PWY-5420|PWY-5420",0.105630232316268,8.8380254484467,0.665461666315529,0.818672608095151,"","edgeR"
"3095","September_ColaDeBallena - September_EsteroZacatecas","PWY-8011|PWY-8011",-0.0487562771437344,11.2218048973905,0.66923734107004,0.82034863890941,"","edgeR"
"3096","September_ColaDeBallena - September_EsteroZacatecas","PWY490-3|PWY490-3",0.0637932183402602,10.9517543707196,0.669925542549839,0.82034863890941,"","edgeR"
"3097","September_ColaDeBallena - September_EsteroZacatecas","PWY-5497|PWY-5497",0.0781700833052398,10.0760605538617,0.67329384398638,0.82256915350761,"","edgeR"
"3098","September_ColaDeBallena - September_EsteroZacatecas","PWY-5913|PWY-5913",-0.0841530565216167,10.0551303980125,0.676525002131982,0.824612272183914,"","edgeR"
"3099","September_ColaDeBallena - September_EsteroZacatecas","PWY0-1277|PWY0-1277",-0.161547812211482,8.42886258444815,0.685648961465487,0.833812185322397,"","edgeR"
"3100","September_ColaDeBallena - September_EsteroZacatecas","PWY-6897|PWY-6897",0.0191037724344577,11.7910731085207,0.692029648747539,0.839641477494147,"","edgeR"
"3101","September_ColaDeBallena - September_EsteroZacatecas","CRNFORCAT-PWY|CRNFORCAT-PWY",-0.0714335036036043,9.77068680700315,0.700429104614352,0.845997182101031,"","edgeR"
"3102","September_ColaDeBallena - September_EsteroZacatecas","PWY-6168|PWY-6168",-0.0654515670947445,11.2028417634592,0.7034797440154,0.845997182101031,"","edgeR"
"3103","September_ColaDeBallena - September_EsteroZacatecas","PWY-5667|PWY-5667",0.0175845518596534,12.5945438991633,0.703664952976283,0.845997182101031,"","edgeR"
