"","Comparison","Taxa","kw.ep","kw.eBH","glm.ep","glm.eBH","P.adj","Significance","Method"
"PWY-5420|PWY-5420","ColaDeBallena - EsteroZacatecas","PWY-5420|PWY-5420",0.872052452915236,0.910749556910809,0.707731796134972,0.795898016376666,0.910749556910809,"","ALDEx2_kw"
"PWY-6641|PWY-6641","ColaDeBallena - EsteroZacatecas","PWY-6641|PWY-6641",0.466738172443661,0.619975518399759,0.355646549736467,0.50891719484253,0.619975518399759,"","ALDEx2_kw"
"PWY-7295|PWY-7295","ColaDeBallena - EsteroZacatecas","PWY-7295|PWY-7295",0.691644940757339,0.789829089415912,0.745550363012948,0.830355301957456,0.789829089415912,"","ALDEx2_kw"
"PWY-1541|PWY-1541","ColaDeBallena - EsteroZacatecas","PWY-1541|PWY-1541",0.203365016291369,0.382164945711319,0.139682964325854,0.276737665821184,0.382164945711319,"","ALDEx2_kw"
"PWY-7873|PWY-7873","ColaDeBallena - EsteroZacatecas","PWY-7873|PWY-7873",0.884395585953783,0.919447422381467,0.83779201313231,0.893200972709718,0.919447422381467,"","ALDEx2_kw"
"KETOGLUCONMET-PWY|KETOGLUCONMET-PWY","ColaDeBallena - EsteroZacatecas","KETOGLUCONMET-PWY|KETOGLUCONMET-PWY",0.837547885787915,0.888815612315901,0.544129967949666,0.67415977446891,0.888815612315901,"","ALDEx2_kw"
"PWY-7902|PWY-7902","ColaDeBallena - EsteroZacatecas","PWY-7902|PWY-7902",0.443105505702933,0.600225698417329,0.0877901792708304,0.212036878436333,0.600225698417329,"","ALDEx2_kw"
"PWY-5101|PWY-5101","ColaDeBallena - EsteroZacatecas","PWY-5101|PWY-5101",0.683072479363855,0.783602505273585,0.58329697161749,0.704851172633432,0.783602505273585,"","ALDEx2_kw"
"KDO-NAGLIPASYN-PWY|KDO-NAGLIPASYN-PWY","ColaDeBallena - EsteroZacatecas","KDO-NAGLIPASYN-PWY|KDO-NAGLIPASYN-PWY",0.263127267538376,0.446448144952671,0.256483668866022,0.415012947967924,0.446448144952671,"","ALDEx2_kw"
"P105-PWY|P105-PWY","ColaDeBallena - EsteroZacatecas","P105-PWY|P105-PWY",0.0893667356898736,0.251633026740563,0.0353620872226974,0.120655963872076,0.251633026740563,"","ALDEx2_kw"
"PWY-7255|PWY-7255","ColaDeBallena - EsteroZacatecas","PWY-7255|PWY-7255",0.68523930322618,0.780043725512032,0.347387526028108,0.50323065095147,0.780043725512032,"","ALDEx2_kw"
"PWY-7855|PWY-7855","ColaDeBallena - EsteroZacatecas","PWY-7855|PWY-7855",0.0376587750460774,0.148165342556516,0.0408119111801919,0.130733011021637,0.148165342556516,"","ALDEx2_kw"
"PWY-5104|PWY-5104","ColaDeBallena - EsteroZacatecas","PWY-5104|PWY-5104",0.0162119675172613,0.0831407785748292,0.00477977190538723,0.0276013525007104,0.0831407785748292,"","ALDEx2_kw"
