"variable","CB_median","CB_IQR","EZ_median","EZ_IQR","W","p_value","p_adj"
"sed_P",5.56,1.0175,7.25,2.5425,0,0.00507486809794025,0.00507486809794025
"sed_sand",13.75,8.125,78.75,6.25,0,0.00477182171379712,0.00507486809794025
"sed_clay",58.75,8.125,10,3.75,36,0.00492203567532315,0.00507486809794025
