"variable","CB_median","CB_IQR","EZ_median","EZ_IQR","W","p_value","p_adj"
"water_COND",61.105,12.93,88.98,8.53749999999999,11,0.000477681728956982,0.00118408429178885
"water_TDS",69.275,22.88,125.475,15.175,9,0.000308044705627747,0.00118408429178885
"water_ORP",-44.25,92,-190.75,132.125,132,0.000592042145894427,0.00118408429178885
"water_pH",6.74,0.57,6.75,0.1675,74.5,0.90803273826966,0.90803273826966
"water_salinity",41.45,14.95,64.15,10.6425,15.5,0.00122127341187781,0.00183191011781672
"water_temperature",25.2,11.275,27.25,11.525,42.5,0.0939255560418968,0.112710667250276
