Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	853	18	3	15	Unclassified	0.24
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	828	3	1	12	Lutibaculum	0.23
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	810	3	2	9	Pseudoalteromonas	0.23
Thermodesulfobacteriota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	807	57	1	20	Desulfatiglans	0.23
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	794	32	1	23	Unclassified	0.22
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	788	12	3	12	Candidatus_Thiosymbion	0.22
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	774.5	52	3	21	Crocinitomix	0.22
Chloroflexota	Anaerolineae	Unclassified	Unclassified	768	27	2	20	Unclassified	0.22
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	742.54	25	4	16	Unclassified	0.21
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	717	19	1	20	Unclassified	0.2
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	703.25	66	4	23	Unclassified	0.2
Latescibacterota	Unclassified	Unclassified	Unclassified	685	57	3	23	Unclassified	0.19
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	684	17	3	15	Unclassified	0.19
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	657	10	2	13	Granulosicoccus	0.19
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	654	6	4	8	Halomonas	0.18
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	647	21	3	15	P3OB-42	0.18
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Microbulbiferaceae	635.5	11	2	12	Microbulbifer	0.18
Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Unclassified	624	9	2	15	Unclassified	0.18
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Hahellaceae	622	8	4	9	Hahella	0.18
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	582	34	2	21	Unclassified	0.16
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	577	13	1	22	IMCC26207	0.16
Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	563	3	1	9	Patulibacter	0.16
Pseudomonadota	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	552	4	3	5	endosymbionts	0.16
Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	548	26	2	19	Unclassified	0.15
Planctomycetota	OM190	Unclassified	Unclassified	517	57	3	22	Unclassified	0.15
Pseudomonadota	Gammaproteobacteria	JTB23	Unclassified	511	9	3	12	Unclassified	0.14
Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	499	44	1	23	Unclassified	0.14
Planctomycetota	Phycisphaerae	CCM11a	Unclassified	481	36	2	14	Unclassified	0.14
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	442	6	2	20	Filomicrobium	0.12
Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	442	25	3	12	Acanthopleuribacter	0.12
Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	426	9	1	12	Blastocatella	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	418	8	4	10	BD1-7_clade	0.12
Gemmatimonadota	PAUC43f_marine_benthic_group	Unclassified	Unclassified	412	20	1	20	Unclassified	0.12
NB1-j	Unclassified	Unclassified	Unclassified	411	49	3	18	Unclassified	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	408.25	16	3	16	C1-B045	0.12
Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	401	2	3	11	Unclassified	0.11
Unclassified	Unclassified	Unclassified	Unclassified	397.42	118	4	24	Unclassified	0.11
Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	359.5	46	3	20	Unclassified	0.1
Chloroflexota	JG30-KF-CM66	Unclassified	Unclassified	340	8	2	11	Unclassified	0.1
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	334.49	43	2	16	Unclassified	0.09
Candidatus_Eremiobacterota	Eremiobacteria	Unclassified	Unclassified	314	10	1	16	Unclassified	0.09
Candidatus_Kapabacteria	Kapabacteria	Kapabacteriales	Unclassified	296	28	3	20	Unclassified	0.08
Bacteroidota	Bacteroidia	Cytophagales	Unclassified	294.5	4	3	11	Unclassified	0.08
Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	285	16	2	17	Unclassified	0.08
Nitrospinota	Nitrospinia	Nitrospinales	Nitrospinaceae	280	3	2	4	Nitrospina	0.08
Pseudomonadota	Gammaproteobacteria	pItb-vmat-80	Unclassified	276	6	3	8	Unclassified	0.08
Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	268	3	2	6	Unclassified	0.08
Acidobacteriota	Acidobacteriae	PAUC26f	Unclassified	262	18	3	14	Unclassified	0.07
Bacillota	Bacilli	Bacillales	Bacillaceae	257.11	7	4	6	Neobacillus	0.07
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	257	7	3	6	Sulfurovum	0.07
Chloroflexota	KD4-96	Unclassified	Unclassified	255	5	1	16	Unclassified	0.07
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	254	13	2	12	Unclassified	0.07
Acidobacteriota	Vicinamibacteria	Subgroup_17	Unclassified	252	6	2	16	Unclassified	0.07
