ec	total_contribution	n_asvs	top_family	top_family_pct
1.5.1.20	579115.65	13923	Paracoccaceae	16.7
1.5.1.5	488204.71	14552	Unclassified	10.7
3.5.4.9	488204.71	14552	Unclassified	10.7
6.3.4.3	181223.4	6181	Paracoccaceae	22.8
1.2.7.4	32676.48	984	Desulfosarcinaceae	31.9
2.1.1.258	27491.38	1267	Desulfosarcinaceae	25.2
2.3.1.169	15909.23	933	Unclassified	27.9
