Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	18338.03	70	8	24	Pseudohongiella	0.34
Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	17940	5	8	19	Mycobacterium	0.34
Deinococcota	Deinococci	Deinococcales	Trueperaceae	16978	35	8	24	Truepera	0.32
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	16715.62	48	8	11	Phormidium_MBIC10003	0.31
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unclassified	14608	43	9	16	Unclassified	0.27
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	14009.75	158	10	24	Unclassified	0.26
Latescibacterota	Unclassified	Unclassified	Unclassified	13839.5	85	9	23	Unclassified	0.26
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	13822	57	6	23	Euryhalocaulis	0.26
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	13437	61	8	24	Caldithrix	0.25
Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	13254	50	8	23	Unclassified	0.25
Balneolota	Balneolia	Balneolales	Balneolaceae	13238	74	9	24	Unclassified	0.25
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	12752	165	9	24	Algisphaera	0.24
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	12248	94	9	22	Unclassified	0.23
Unclassified	Unclassified	Unclassified	Unclassified	11565.62	291	10	24	Unclassified	0.22
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	11312	114	8	23	Lentimonas	0.21
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	11103	23	8	22	Marinomonas	0.21
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	11084	32	8	23	Unclassified	0.21
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	11082.5	73	9	21	Unclassified	0.21
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	10902	50	8	24	Unclassified	0.2
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	10461.36	159	9	24	Unclassified	0.2
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	10385	124	9	24	OM27_clade	0.19
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Unclassified	9529	21	8	23	Unclassified	0.18
Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	9511.5	113	7	24	Unclassified	0.18
Chloroflexota	Anaerolineae	Aggregatilineales	Unclassified	9419.5	59	9	23	Unclassified	0.18
Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	9390	1	9	17	Iamia	0.18
Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae	9072	1	8	10	Sporichthya	0.17
Pseudomonadota	Gammaproteobacteria	HOC36	Unclassified	8780.74	40	9	24	Unclassified	0.16
Planctomycetota	OM190	Unclassified	Unclassified	8587	133	10	23	Unclassified	0.16
Chloroflexota	Anaerolineae	Ardenticatenales	Unclassified	8233	32	9	17	Unclassified	0.15
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Alcanivoracaceae	8105.5	18	8	20	Ketobacter	0.15
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	7714.25	43	9	16	Unclassified	0.14
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodomicrobiaceae	7260	10	6	19	Rhodomicrobium	0.14
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Unclassified	6983.63	29	8	19	Unclassified	0.13
Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	6894.5	70	7	23	Planctomicrobium	0.13
Myxococcota	Polyangiia	Polyangiales	BIrii41	6810	35	9	19	Unclassified	0.13
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	6766	37	9	23	Unclassified	0.13
