Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified	1193.33	76	4	22	0.34
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Haloferula	1183	38	1	22	0.33
Chloroflexota	Anaerolineae	Aggregatilineales	Unclassified	Unclassified	1089	56	2	23	0.31
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus_Thiobios	1083	10	3	18	0.31
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Oricola	1080	4	1	23	0.3
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	1070	9	1	14	0.3
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unclassified	Unclassified	1056	39	3	14	0.3
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Unclassified	1041	53	1	19	0.29
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	Methyloceanibacter	1020	2	1	22	0.29
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Actibacterium	1001	5	3	15	0.28
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingopyxis	991	14	1	23	0.28
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081_sediment_group	964	25	1	21	0.27
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum	961	17	3	12	0.27
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubricoccus	942	41	2	24	0.27
Pseudomonadota	Gammaproteobacteria	Milano-WF1B-44	Unclassified	Unclassified	915	7	3	13	0.26
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfatitalea	908	19	2	16	0.26
Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unclassified	899	4	4	10	0.25
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavimarina	854	12	1	22	0.24
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	Unclassified	853	18	3	15	0.24
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Defluviimonas	830	2	4	3	0.23
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	Lutibaculum	828	3	1	12	0.23
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	823	32	1	19	0.23
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Unclassified	819	29	3	16	0.23
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	Pseudoalteromonas	810	3	2	9	0.23
Thermodesulfobacteriota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	807	57	1	20	0.23
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	Unclassified	794	32	1	23	0.22
Chloroflexota	Anaerolineae	Unclassified	Unclassified	Unclassified	768	27	2	20	0.22
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Unclassified	742	13	4	12	0.21
Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya	741	10	1	23	0.21
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Unclassified	733.54	24	4	16	0.21
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	720	1	1	19	0.2
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	703.25	66	4	23	0.2
Latescibacterota	Unclassified	Unclassified	Unclassified	Unclassified	685	57	3	23	0.19
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Candidatus_Electrothrix	666	15	1	12	0.19
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	657	10	2	13	0.19
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	654	6	4	8	0.18
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Unclassified	650	7	3	11	0.18
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	646	20	2	14	0.18
