Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	Unclassified	6283	19	9	15	0.12
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Limibacillus	6251	7	8	20	0.12
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiohalocapsa	6235	9	9	9	0.12
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Unclassified	6176.8	24	7	20	0.12
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	6070	38	6	20	0.11
Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Salinisphaera	6040	15	7	18	0.11
Gemmatimonadota	Longimicrobiia	Longimicrobiales	Longimicrobiaceae	Unclassified	6008	14	8	20	0.11
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	5898.5	26	8	17	0.11
Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	Unclassified	5802	42	8	23	0.11
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Caldithrix	5776	16	8	19	0.11
Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Unclassified	Unclassified	5752	9	8	15	0.11
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altererythrobacter	5715	4	8	13	0.11
Pseudomonadota	Gammaproteobacteria	Beggiatoales	Leucotrichaceae	Unclassified	5609	28	8	19	0.1
Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	5580	2	7	8	0.1
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Paraurantiacibacter	5536	5	9	15	0.1
Pseudomonadota	Gammaproteobacteria	BD7-8	Unclassified	Unclassified	5445	21	7	14	0.1
Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Unclassified	Unclassified	5328	9	8	13	0.1
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Owenweeksia	5274	39	6	21	0.1
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Unclassified	5178	17	9	16	0.1
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	5080	17	8	17	0.1
NB1-j	Unclassified	Unclassified	Unclassified	Unclassified	5077	51	9	18	0.1
Zixibacteria	Unclassified	Unclassified	Unclassified	Unclassified	5050	39	8	15	0.09
Planctomycetota	Phycisphaerae	Tepidisphaerales	Unclassified	Unclassified	5040	42	6	21	0.09
Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	Unclassified	4994.5	43	9	21	0.09
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tropicimonas-Psychromarinibacter	4984	9	7	12	0.09
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosudis	4930	12	8	7	0.09
Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Unclassified	4917	53	9	21	0.09
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	Unclassified	4905	11	9	10	0.09
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Algisphaera	4878	23	6	15	0.09
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Aurantimonas	4856	2	6	16	0.09
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium_PCC-7375	4835	5	7	8	0.09
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	4813	31	9	20	0.09
Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	4796	42	5	23	0.09
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum	4796	17	8	12	0.09
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Unclassified	4793	24	8	18	0.09
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	4734	17	8	14	0.09
Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Unclassified	4638	34	8	18	0.09
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Phormidesmis_ANT.LACV5.1	4620	17	6	11	0.09
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Robertkochia	4559	16	9	20	0.09
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	4547	32	9	17	0.09
Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	Unclassified	4530	48	9	16	0.08
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Haliea	4446	10	8	18	0.08
Patescibacteria	Dojkabacteria	Unclassified	Unclassified	Unclassified	4425	53	9	21	0.08
Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	Unclassified	4411	13	9	17	0.08
Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	Candidatus_Uzinura	4408	3	6	3	0.08
Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Unclassified	4394	19	7	22	0.08
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Unclassified	4386	19	6	20	0.08
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus_Thiobios	4314	10	8	18	0.08
Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unclassified	4271	4	10	10	0.08
Dadabacteria	Dadabacteriia	Dadabacteriales	Unclassified	CSP1-2	4227	17	8	13	0.08
Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	4219	68	9	20	0.08
Thermodesulfobacteriota	Unclassified	Unclassified	Unclassified	Unclassified	4155	17	8	14	0.08
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Euryhalocaulis	4144	7	5	18	0.08
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Unclassified	4129	68	8	23	0.08
Gemmatimonadota	PAUC43f_marine_benthic_group	Unclassified	Unclassified	Unclassified	4120	20	7	20	0.08
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Altericroceibacterium	4048	2	8	12	0.08
Actinomycetota	Thermoleophilia	Gaiellales	Unclassified	Unclassified	4038	20	7	19	0.08
Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified	3977.97	96	9	24	0.07
Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	3971	10	7	12	0.07
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Unclassified	3948	5	9	9	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Marinirhabdus	3941	19	5	18	0.07
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Sva1033	Unclassified	3936	9	7	12	0.07
Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	3929	7	9	10	0.07
Pseudomonadota	Gammaproteobacteria	JTB23	Unclassified	Unclassified	3858	11	8	13	0.07
Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	3829	26	6	19	0.07
SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	Candidatus_Nitrosoarchaeum	3828	62	9	23	0.07
Myxococcota	Polyangiia	Nannocystales	Nannocystaceae	Unclassified	3801	29	8	19	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Roseitalea	3781	6	6	10	0.07
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	3766	74	9	24	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pricia	3727	4	6	5	0.07
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Lentimonas	3726	14	7	18	0.07
Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Marinicella	3718	20	8	14	0.07
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Unclassified	3645	14	9	12	0.07
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Unclassified	3593	23	8	17	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aquimarina	3592	7	6	11	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	Methyloceanibacter	3589	2	7	22	0.07
Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	Unclassified	3586.5	52	9	20	0.07
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Unclassified	3567	43	7	17	0.07
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Catalinimonas	3528	4	6	23	0.07
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	3528	3	7	17	0.07
Cyanobacteriota	Vampirivibrionia	Vampirovibrionales	Unclassified	Unclassified	3524	37	8	13	0.07
Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	Unclassified	3521	69	8	24	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7_clade	3520.5	32	9	15	0.07
Planctomycetota	Phycisphaerae	CCM11a	Unclassified	Unclassified	3516	37	9	14	0.07
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	Unclassified	3501	13	8	4	0.07
Bacteroidota	Bacteroidia	Bacteroidales	SB-5	Unclassified	3481	26	8	14	0.07
Candidatus_Eremiobacterota	Eremiobacteria	Unclassified	Unclassified	Unclassified	3425	15	9	19	0.06
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Unclassified	Unclassified	3423	24	9	20	0.06
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Verruc-01	3415	33	8	18	0.06
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfofustis	3404	10	8	7	0.06
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	3402	8	4	10	0.06
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	IheB3-7	3396.5	27	8	21	0.06
Pseudomonadota	Gammaproteobacteria	Milano-WF1B-44	Unclassified	Unclassified	3373	8	8	13	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	211ds20	Unclassified	3335	9	9	15	0.06
Bacteroidota	Bacteroidia	Cytophagales	Mooreiaceae	Mooreia	3312	8	6	22	0.06
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Unclassified	3298	25	6	15	0.06
Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	Kiritimatiellaceae	R76-B128	3289	21	7	14	0.06
Myxococcota	Polyangiia	MidBa8	Unclassified	Unclassified	3264.5	34	9	11	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182_clade	Unclassified	3234	19	8	15	0.06
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Unclassified	3171	64	9	22	0.06
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Mariniblastus	3167	25	6	18	0.06
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Gloeocapsopsis_BDHKU_35101	3144	3	7	6	0.06
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	3110	21	7	15	0.06
Bacteroidota	Bacteroidia	Unclassified	Unclassified	Unclassified	3055.67	67	9	23	0.06
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Henriciella	3030	8	6	20	0.06
Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	2983	55	8	21	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Microbulbiferaceae	Microbulbifer	2981.31	19	7	18	0.06
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Candidatus_Thiosymbion	2884	2	9	2	0.05
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Pikeienuella	2865.5	20	5	20	0.05
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	Unclassified	2860	10	8	5	0.05
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	2854	5	6	20	0.05
Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Unclassified	2813	19	9	18	0.05
Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	SKP-2	2797	41	6	24	0.05
Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	Unclassified	2793	35	8	22	0.05
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Nonlabens	2785.5	18	7	13	0.05
Nitrospirota	Thermodesulfovibrionia	Unclassified	Unclassified	Unclassified	2771	22	5	18	0.05
Candidatus_Kapabacteria	Kapabacteria	Kapabacteriales	Unclassified	Unclassified	2757	28	8	20	0.05
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Arthrospira_PCC-7345	2749.5	2	8	7	0.05
Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_23	2728	22	8	16	0.05
Balneolota	Balneolia	Balneolales	Balneolaceae	Balneola	2722	22	6	19	0.05
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unclassified	2704.5	14	8	10	0.05
Pseudomonadota	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	endosymbionts	2650	4	8	5	0.05
Acidobacteriota	Subgroup_22	Unclassified	Unclassified	Unclassified	2646	37	8	14	0.05
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Unclassified	2624	12	7	9	0.05
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	Pelagicoccus	2592	27	6	17	0.05
Bacillota	Bacilli	Bacillales	Bacillaceae	Unclassified	2586	9	9	10	0.05
Acidobacteriota	Acidobacteriae	PAUC26f	Unclassified	Unclassified	2585	18	8	14	0.05
Thermodesulfobacteriota	Desulfuromonadia	PB19	Unclassified	Unclassified	2584	21	8	16	0.05
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	C1-B045	2537.5	11	7	17	0.05
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	2456	20	7	13	0.05
Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	2456	2	6	2	0.05
Acidobacteriota	Subgroup_18	Unclassified	Unclassified	Unclassified	2452	6	8	12	0.05
Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Unclassified	2433	36	8	16	0.05
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	2415.5	20	8	7	0.05
Acetothermia	Acetothermiia	Unclassified	Unclassified	AOM-SR-B11	2356	8	5	8	0.04
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	2353	9	8	10	0.04
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Unclassified	2351	14	8	12	0.04
Thermodesulfobacteriota	Desulfarculia	Desulfarculales	Desulfarculaceae	Desulfocarbo	2300	7	8	10	0.04
Patescibacteria	Parcubacteria	Candidatus_Campbellbacteria	Unclassified	Unclassified	2285.75	40	10	20	0.04
Bacteroidota	Bacteroidia	Cytophagales	Unclassified	Unclassified	2277	15	8	18	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	KF-JG30-B3	Unclassified	2270	3	7	10	0.04
Thermodesulfobacteriota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	Desulfobacca	2240	4	8	10	0.04
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Nodosilineaceae	Halomicronema_TFEP1	2231	10	8	12	0.04
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Croceicoccus	2203	5	8	8	0.04
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	2193	15	6	13	0.04
Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	2172	21	9	12	0.04
Cyanobacteriota	Cyanobacteriia	Synechococcales	Unclassified	Schizothrix_LEGE_07164	2168	5	6	3	0.04
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas	2166	6	7	8	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Bauldia	2149	7	6	12	0.04
Chloroflexota	KD4-96	Unclassified	Unclassified	Unclassified	2136	5	8	16	0.04
Marinimicrobia_(SAR406_clade)	Unclassified	Unclassified	Unclassified	Unclassified	2129	9	8	10	0.04
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	2116	23	6	17	0.04
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marivirga	2106	7	6	12	0.04
Patescibacteria	Gracilibacteria	Unclassified	Unclassified	Unclassified	2021.5	46	10	18	0.04
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Calorithrix	1974	8	8	10	0.04
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Halovulum	1963	11	6	20	0.04
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Actibacter	1960	4	6	17	0.04
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Candidatus_Thiodiazotropha	1953	4	9	8	0.04
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiferula	1946	3	8	3	0.04
Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified	1936	41	9	19	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Lutibaculaceae	Lutibaculum	1932	3	5	12	0.04
Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Unclassified	1903	8	8	11	0.04
Patescibacteria	Microgenomatia	Candidatus_Pacebacteria	Unclassified	Unclassified	1901	18	9	10	0.04
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfococcaceae	Unclassified	1898.59	13	8	9	0.04
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	DBS1	1888	6	6	12	0.04
Chloroflexota	Dehalococcoidia	FS117-23B-02	Unclassified	Unclassified	1848	7	6	9	0.03
Sumerlaeota	Sumerlaeia	Unclassified	Unclassified	Unclassified	1832	31	9	15	0.03
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Pelagibacterium	1800	4	5	15	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorpha	1783	8	7	10	0.03
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	1727	6	7	19	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zunongwangia	1725	7	7	7	0.03
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Unclassified	Unclassified	1720	36	5	21	0.03
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	1709	40	8	21	0.03
Pseudomonadota	Alphaproteobacteria	AT-s3-44	Unclassified	Unclassified	1702	3	7	5	0.03
Acidobacteriota	Subgroup_21	Unclassified	Unclassified	Unclassified	1700.88	21	8	17	0.03
Planctomycetota	Pla4_lineage	Unclassified	Unclassified	Unclassified	1698	42	8	17	0.03
Pseudomonadota	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	1685	6	9	12	0.03
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Reichenbachiella	1664	12	6	17	0.03
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Defluviimonas	1660	2	6	3	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Euzebyella	1656	2	6	5	0.03
Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Unclassified	1648	20	7	15	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maritimimonas	1648	3	6	3	0.03
Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus	1638	44	9	16	0.03
Acidobacteriota	Vicinamibacteria	Subgroup_17	Unclassified	Unclassified	1638	6	8	16	0.03
Acidobacteriota	Acidobacteriae	Unclassified	Unclassified	Unclassified	1638	4	7	13	0.03
Pseudomonadota	Gammaproteobacteria	pItb-vmat-80	Unclassified	Unclassified	1625	10	9	9	0.03
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Hyphococcus	1622	6	7	14	0.03
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Maribellus	1615	4	8	12	0.03
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	1611	16	8	17	0.03
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	1611	22	7	11	0.03
Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Unclassified	1608	3	7	10	0.03
Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Sandaracinus	1606	13	7	18	0.03
Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae	Pseudobacteriovorax	1596	17	7	11	0.03
Bacillota	Clostridia	Christensenellales	Christensenellaceae	Unclassified	1575	12	5	3	0.03
Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	SCGC_AAA164-E04	1569	14	8	14	0.03
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Anderseniella	1568	3	6	13	0.03
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Glaciecola	1540	8	7	6	0.03
Bacillota	Clostridia	Clostridia_vadinBB60_group	Unclassified	Unclassified	1533.91	10	8	8	0.03
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Thiohalophilus	1512	9	7	9	0.03
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Seongchinamella	1510	6	9	8	0.03
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcystaceae	Synechocystis_BDHKU-20401	1507	3	8	6	0.03
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Aureispira	1507	10	7	14	0.03
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bremerella	1500	15	7	11	0.03
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Larsenimonas	1494	3	6	11	0.03
Planctomycetota	vadinHA49	Unclassified	Unclassified	Unclassified	1486	31	9	17	0.03
Planctomycetota	Unclassified	Unclassified	Unclassified	Unclassified	1476	33	9	20	0.03
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	C2U	Unclassified	1452	6	6	7	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Mesohalobacter	1446	8	6	12	0.03
Sva0485	Unclassified	Unclassified	Unclassified	Unclassified	1444	11	8	12	0.03
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Thalassospiraceae	Thalassospira	1432	2	5	14	0.03
Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Unclassified	1428	14	8	15	0.03
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified	1425	39	9	20	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Salinirepens	1424.5	10	5	10	0.03
Chloroflexota	Dehalococcoidia	S085	Unclassified	Unclassified	1419	8	7	7	0.03
Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Unclassified	1387	16	9	15	0.03
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	1371	21	6	15	0.03
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Rubritaleaceae	Rubritalea	1364.03	11	7	14	0.03
Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Unclassified	Unclassified	1361	10	8	9	0.03
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Unclassified	1358	15	7	11	0.03
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Algimonas	1352	4	6	7	0.03
Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified	1345.5	9	5	7	0.03
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Unclassified	Unclassified	1327	10	8	12	0.02
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Rapidithrix	1315	11	7	19	0.02
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Spirochaeta	1301	38	7	20	0.02
Patescibacteria	ABY1	Candidatus_Uhrbacteria	Unclassified	Unclassified	1300	13	8	9	0.02
Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Unclassified	1283	17	8	11	0.02
Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Unclassified	1272	12	6	12	0.02
Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Unclassified	1245	19	8	12	0.02
Patescibacteria	WWE3	Unclassified	Unclassified	Unclassified	1236	26	9	13	0.02
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulforhopalus	1224	1	8	4	0.02
Modulibacteria	Moduliflexia	Moduliflexales	Moduliflexaceae	Unclassified	1215	11	9	11	0.02
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	JTB255_marine_benthic_group	1205	9	8	12	0.02
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Unclassified	1200	4	7	9	0.02
Chloroflexota	Dehalococcoidia	661239	Unclassified	Unclassified	1190	8	5	11	0.02
Planctomycetota	Phycisphaerae	Pla1_lineage	Unclassified	Unclassified	1176	15	8	12	0.02
Chloroflexota	Dehalococcoidia	SAR202_clade	Unclassified	Unclassified	1174	17	8	12	0.02
Chloroflexota	JG30-KF-CM66	Unclassified	Unclassified	Unclassified	1170	8	8	11	0.02
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Kyrtuthrix	1164.62	35	8	8	0.02
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Litorimonas	1160	4	6	17	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter	1144	3	6	9	0.02
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Aggregatilinea	1136	11	8	10	0.02
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Unclassified	1133.88	9	8	11	0.02
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Unclassified	Unclassified	1133	4	7	7	0.02
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Flavilitoribacter	1122	12	8	16	0.02
Verrucomicrobiota	Kiritimatiellia	WCHB1-41	Unclassified	Unclassified	1109	40	7	14	0.02
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Halodurantibacterium	1104	1	5	12	0.02
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Unclassified	Unclassified	1096	13	8	12	0.02
