Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Acidobacteriota	Acidobacteriae	TSBb06	Unclassified	Unclassified	13	1	7	1	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Mastigocoleus_BC008	13	1	8	1	0
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	13	1	7	1	0
Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	13	1	3	1	0
Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	12.09	1	7	2	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Oscillatoriaceae	Oscillatoria_PCC-6304	12	1	8	1	0
Acidobacteriota	Acidobacteriae	Subgroup_2	Unclassified	Unclassified	12	1	6	1	0
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Unclassified	Unclassified	12	1	8	1	0
Verrucomicrobiota	Unclassified	Unclassified	Unclassified	Unclassified	12	1	8	1	0
Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	12	1	3	1	0
Bacillota	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Thomasclavelia	12	1	1	4	0
Actinomycetota	Actinobacteria	Streptosporangiales	Unclassified	Unclassified	11.39	1	7	1	0
Patescibacteria	Parcubacteria	Candidatus_Colwellbacteria	Unclassified	Unclassified	11	1	5	1	0
Patescibacteria	Parcubacteria	Candidatus_Jorgensenbacteria	Unclassified	Unclassified	11	1	5	1	0
Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus_Alysiosphaera	11	1	7	1	0
Bacillota	Bacilli	Bacillales	Bacillaceae	Desertibacillus	11	1	7	1	0
Dependentiae	Babeliae	Babeliales	Babeliaceae	Unclassified	11	1	8	1	0
Bacteroidota	Bacteroidia	Cytophagales	Spirosomataceae	Unclassified	10.64	1	6	1	0
Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	UCG-002	10.64	1	3	1	0
Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptonema	10	1	6	1	0
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parerythrobacter	10	1	7	1	0
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Limnobacter	10	1	7	1	0
Balneolota	Balneolia	Balneolales	Balneolaceae	B2706-C7	10	1	7	1	0
Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Unclassified	10	1	7	1	0
Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	YC-ZSS-LKJ63	10	1	8	1	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Paraspirulinaceae	Unclassified	10	1	6	1	0
Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Unclassified	10	1	5	1	0
Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	LD29	9	1	7	1	0
Bacillota	Unclassified	Unclassified	Unclassified	Unclassified	9	1	7	1	0
Chloroflexota	Unclassified	Unclassified	Unclassified	Unclassified	9	1	5	1	0
Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Nevskiaceae	Unclassified	9	1	6	1	0
Asgardarchaeota	Lokiarchaeia	Odinarchaeales	Unclassified	LCB-4	9	1	7	1	0
Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tautonia	9	1	6	1	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Marinagarivorans	9	1	6	1	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Cylindrospermopsis_CRJ1	8.71	1	8	1	0
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Mangrovicella	8	1	5	1	0
Planctomycetota	Phycisphaerae	MSBL9	KCLunmb-38-53	Unclassified	8	1	4	1	0
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pustulibacterium	8	1	6	1	0
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Neo-b11	8	1	6	1	0
Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade_III	Unclassified	8	1	5	1	0
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodobiaceae	Tepidamorphus	7	1	5	1	0
Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	Ga0074140	7	1	5	1	0
Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinivibrionaceae	possible_genus_03	7	1	4	1	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Bacterioplanes	6.03	1	6	1	0
Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Hypnocyclicus	6	1	4	1	0
Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Unclassified	5.25	1	9	1	0
Pseudomonadota	Alphaproteobacteria	Azospirillales	Azospirillaceae	Rhodocista	5	1	6	1	0
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Saccharospirillaceae	Litoribrevibacter	5	1	6	1	0
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Thiospirochaeta	4.5	1	5	1	0
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Rubidibacteraceae	Dactylococcopsis_PCC-8305	4.5	1	6	1	0
Bacillota	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	4.2	1	6	1	0
Bacillota	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	2.7	1	6	1	0
Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	Unclassified	2.25	1	5	1	0
Bacillota	Clostridia	Clostridiales	Clostridiaceae	Unclassified	2	1	4	1	0
Pseudomonadota	Gammaproteobacteria	eub62A3	Unclassified	Unclassified	2	1	1	1	0
Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Cellulosilyticum	1.7	1	4	1	0
Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Tetragenococcus	0.8	1	4	1	0
