Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	4337	50	4	23	Unclassified	0.24
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	4106	165	3	24	Algisphaera	0.23
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	4081	114	4	23	Pelagicoccus	0.23
Balneolota	Balneolia	Balneolales	Balneolaceae	3934.5	74	4	24	Unclassified	0.22
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Unclassified	3932	21	4	23	Unclassified	0.22
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	3924.5	139	7	23	Unclassified	0.22
Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	3923.01	159	4	24	Unclassified	0.22
Planctomycetota	Planctomycetes	Planctomycetales	Unclassified	3787.5	113	3	24	Unclassified	0.21
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	3519.86	43	7	16	Unclassified	0.19
Chloroflexota	Anaerolineae	Ardenticatenales	Unclassified	3501	32	7	17	Unclassified	0.19
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	3492	34	7	21	Unclassified	0.19
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	3359	124	5	24	OM27_clade	0.19
Unclassified	Unclassified	Unclassified	Unclassified	3298.39	291	7	24	Unclassified	0.18
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	3006.5	158	4	24	Unclassified	0.17
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	2990	73	4	21	Unclassified	0.16
Bacillota	Bacilli	Bacillales	Bacillaceae	2958.88	24	4	12	Rossellomorea	0.16
Campylobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	2954	20	2	14	Sulfurovum	0.16
Planctomycetota	OM190	Unclassified	Unclassified	2856	133	7	23	Unclassified	0.16
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	2789	24	4	21	Unclassified	0.15
Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	2773	20	4	13	Granulosicoccus	0.15
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	2764	61	5	24	Caldithrix	0.15
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Unclassified	2677	33	4	22	Unclassified	0.15
Gemmatimonadota	Longimicrobiia	Longimicrobiales	Longimicrobiaceae	2674	15	4	21	Unclassified	0.15
Pseudomonadota	Gammaproteobacteria	HOC36	Unclassified	2654.02	40	5	24	Unclassified	0.15
Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	2566.5	70	3	23	Planctomicrobium	0.14
Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	2565	5	2	19	Mycobacterium	0.14
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Marinomonadaceae	2469	23	3	22	Marinomonas	0.14
Pseudomonadota	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	2386	15	3	18	Salinisphaera	0.13
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	KI89A_clade	2382	32	3	23	Unclassified	0.13
Pseudomonadota	Gammaproteobacteria	B2M28	Unclassified	2360	19	4	15	Unclassified	0.13
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	2348	37	4	23	Unclassified	0.13
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatirhabdiaceae	2258	13	7	11	Unclassified	0.12
Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	2252	3	3	19	Geodermatophilus	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Unclassified	2240.49	29	4	19	Unclassified	0.12
Myxococcota	Polyangiia	Polyangiales	BIrii41	2216	35	4	19	Unclassified	0.12
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodomicrobiaceae	2178	10	3	19	Rhodomicrobium	0.12
Latescibacterota	Unclassified	Unclassified	Unclassified	2139.5	85	4	23	Unclassified	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	2101	29	4	18	Marinobacterium	0.12
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	2085	58	4	21	Salinirepens	0.12
Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	1996	44	4	23	Unclassified	0.11
Actinomycetota	Actinobacteria	Frankiales	Sporichthyaceae	1944	1	3	10	Sporichthya	0.11
