Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Chloroflexota	Anaerolineae	Unclassified	Unclassified	Unclassified	6590	29	7	20	0.36
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Unclassified	6093.54	89	3	24	0.34
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	6075.24	50	4	18	0.34
Pseudomonadota	Gammaproteobacteria	EPR3968-O8a-Bc78	Unclassified	Unclassified	6042	69	3	19	0.33
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Candidatus_Electrothrix	5996	15	7	12	0.33
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Unclassified	5609	45	4	23	0.31
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	5478	21	3	17	0.3
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	Unclassified	5377	94	4	22	0.3
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Unclassified	5079.99	10	3	11	0.28
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Unclassified	4782.92	23	4	19	0.26
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Pelagibius	4725	28	4	19	0.26
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	4719	15	7	17	0.26
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Hasllibacter	4709	8	4	15	0.26
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	Unclassified	4661	80	4	20	0.26
Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	4635	35	3	24	0.26
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Silicimonas	4603	14	4	21	0.25
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Pseudahrensia	4596	12	4	15	0.25
