ec	total_contribution	n_asvs	top_family	top_family_pct
1.7.2.1	186353.25	4337	Unclassified	14.3
1.7.5.1	78519.97	1303	Rubrobacteriaceae	32.4
1.7.2.4	46538.59	1947	Flavobacteriaceae	33.3
1.7.2.5	42894.57	1734	Unclassified	16.8
