"","x","y","season","site","tree-id","transect-position","species","sample-type","latitude","longitude","collection-date","water_COND","water_TDS","water_ORP","water_pH","water_salinity","water_temperature","sed_pH","sed_EC","sed_OM","sed_orgN","sed_P","sed_K","sed_sand","sed_silt","sed_clay"
"FEZAG5",-45.9268034973892,-28.6818401860512,"February","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,-110.4349064,"2024-02",62.17,74.2,-115,7.13,42.5,20.15,6,38,2.81,0.14,6.71,103.28,80,10,10
"FEZAG6",-26.7408016391383,55.7138785536922,"February","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,-110.4330398,"2024-02",87.72,124.65,-189.5,6.73,54.5,20.1,6.9,38,2.9,0.145,7.1,46.53,77.5,12.5,10
"SCBAG1",34.8215558417607,-7.17875665921992,"September","ColaDeBallena","CB-T1",1,"Avicennia germinans","composite-pneumatophore",24.11732854,-110.3496596,"2024-09",64.88,75.5,-82,6.42,44.3,30.3,7,47,2.62,0.13,5.98,102.03,22.5,35,42.5
"SCBAG2",29.2823521031462,-22.2280712204095,"September","ColaDeBallena","CB-T2",2,"Avicennia germinans","composite-pneumatophore",24.11724639,-110.349705,"2024-09",87,116,-78,6.35,64.3,30.8,6.8,70,5.34,0.27,4.42,119.14,12.5,22.5,65
"SCBAG3",18.0054246097626,-13.5253126757842,"September","ColaDeBallena","CB-T3",3,"Avicennia germinans","composite-pneumatophore",24.11716808,-110.3497365,"2024-09",62.7,72.19,-104,6.48,48.6,30.3,6.1,72,5.33,0.26,5.63,106.9,15,30,55
"SCBAG4",39.4376970558512,-18.7087310719018,"September","ColaDeBallena","CB-T4",4,"Avicennia germinans","composite-pneumatophore",24.11716672,-110.3497073,"2024-09",57.3,63.5,-38,6.8,35.7,30.1,6.5,54,5.62,0.28,5.79,103.65,12.5,27.5,60
"SCBAG5",22.8781130459564,-19.6940729763458,"September","ColaDeBallena","CB-T5",5,"Avicennia germinans","composite-pneumatophore",24.11708118,-110.3497003,"2024-09",59.51,66.36,56,7.65,42.9,33.2999999999999,7.2,25,1.81,0.09,4.48,109.15,30,12,57.5
"SCBAG6",40.2678035572352,-29.663276784366,"September","ColaDeBallena","CB-T6",6,"Avicennia germinans","composite-pneumatophore",24.11700828,-110.3496416,"2024-09",55.2,59.43,150,6.95,40,32.4,6.7,76,4.99,0.25,5.49,102.9,12.5,17.5,70
"SEZAG1",16.612199395263,16.250851046249,"September","EsteroZacatecas","EZ-T1",1,"Avicennia germinans","composite-pneumatophore",24.17550372,-110.4316143,"2024-09",105.7,158.8,-44,6.56,85.7,34.2999999999999,6.9,39,1.43,0.071,10.99,98.52,87.5,5,7.5
"SEZAG2",14.4500713429727,21.6189065282674,"September","EsteroZacatecas","EZ-T2",2,"Avicennia germinans","composite-pneumatophore",24.17593086,-110.437037,"2024-09",93.26,128.5,-150,6.69,71.4,32.7999999999999,6.9,44,1.5,0.075,10.04,114.15,62.5,25.5,12.5
"SEZAG3",12.8972619315051,42.2216312770578,"September","EsteroZacatecas","EZ-T3",3,"Avicennia germinans","composite-pneumatophore",24.17706011,-110.4365979,"2024-09",98.35,139,-217,6.55,65.7,32.2999999999999,6.1,52,2.33,0.116,7.4,106.15,75,12.5,12.5
"SEZAG4",7.21780585797821,11.1861105358064,"September","EsteroZacatecas","EZ-T4",4,"Avicennia germinans","composite-pneumatophore",24.17674315,-110.4357429,"2024-09",88.31,117,-292,6.8,64.3,33.2999999999999,7.4,40,1.7,0.085,6.75,110.15,82.5,12.5,5
"SEZAG5",18.6579884823975,44.3892872841162,"September","EsteroZacatecas","EZ-T5",5,"Avicennia germinans","composite-pneumatophore",24.17510105,-110.4349064,"2024-09",73.12,88.12,-255,6.54,54.3,33,6,38,2.81,0.14,6.71,103.28,80,10,10
"SEZAG6",18.0550688523916,43.8158825288533,"September","EsteroZacatecas","EZ-T6",6,"Avicennia germinans","composite-pneumatophore",24.17584034,-110.4330398,"2024-09",92.6,126.3,-264,6.87,68.57,35.2999999999999,6.9,38,2.9,0.145,7.1,46.53,77.5,12.5,10
