"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","All","sed_pH","mantel test","pearson",0.0193256100347317,0.403,0.403,""
"2","All","sed_EC","mantel test","pearson",0.0638279185601177,0.17,0.218571428571429,""
"3","All","sed_OM","mantel test","pearson",0.171086341312499,0.014,0.0378,"*"
"4","All","sed_orgN","mantel test","pearson",0.168446544724068,0.021,0.0378,"*"
"5","All","sed_P","mantel test","pearson",0.184502116200827,0.017,0.0378,"*"
"6","All","sed_K","mantel test","pearson",0.014663725852447,0.4,0.403,""
"7","All","sed_sand","mantel test","pearson",0.50490215767092,0.001,0.0045,"**"
"8","All","sed_silt","mantel test","pearson",0.0978941276754388,0.079,0.1185,""
"9","All","sed_clay","mantel test","pearson",0.480590807042255,0.001,0.0045,"**"
