"","x","y"
"water_COND",-0.807949094324649,0.714114967688681
"water_TDS",-0.870078572797493,0.627540148128828
"water_ORP",0.842647486050914,-0.634535101281485
"water_pH",-0.059860714696129,-0.800491519655426
"water_salinity",-0.567110565051862,0.8844504835048
"water_temperature",0.52785942134784,1.11226971425886
"sed_pH",-0.185222981983821,-0.561159934262207
"sed_EC",0.772739734402896,-0.341973751257491
"sed_OM",0.901299839705945,-0.477853028089881
"sed_orgN",0.900134061238206,-0.478255853144721
"sed_P",-0.894307043142961,0.616792380270983
"sed_K",0.576776465007922,-0.449035707963791
"sed_sand",-1.14962647059345,0.647757558743738
"sed_silt",0.852226491264122,-0.388885452595102
"sed_clay",1.13927149772661,-0.66940315120896
