"","x","y"
"water_COND",-17.6492215624253,34.4063172734398
"water_TDS",-21.8333374720399,32.5530477570045
"water_ORP",24.3203800911511,-32.9991254061519
"water_pH",-15.0203839392207,-21.4041741020934
"water_salinity",-2.58648962966466,34.1335971111595
"water_temperature",54.007478245304,22.4041359341227
