"","by_group","Groups","measure","R","p.value","p.adjusted","Significance"
"1","ColaDeBallena","February vs September","bray",0.885185185185185,0.002,0.002,"**"
"2","EsteroZacatecas","February vs September","bray",0.692592592592592,0.001,0.001,"***"
