"","by_group","Groups","measure","F","R2","p.value","p.adjusted","Significance"
"1","ColaDeBallena","February vs September","bray",5.6683535310725,0.361770847194083,0.002,0.002,"**"
"2","EsteroZacatecas","February vs September","bray",4.26574619911777,0.299020194217501,0.002,0.002,"**"
