"","by_group","Variables","mantel type","Correlation method","Correlation coefficient","p.value","p.adjusted","Significance"
"1","All","sed_pH","partial mantel test","pearson",0.0253859132631596,0.33,0.495,""
"2","All","sed_EC","partial mantel test","pearson",-0.105857215452002,0.925,0.925,""
"3","All","sed_OM","partial mantel test","pearson",-0.0527390745323737,0.728,0.855,""
"4","All","sed_orgN","partial mantel test","pearson",-0.0557639799063218,0.76,0.855,""
"5","All","sed_P","partial mantel test","pearson",0.115567755143125,0.1,0.3,""
"6","All","sed_K","partial mantel test","pearson",0.0466949261642323,0.294,0.495,""
"7","All","sed_sand","partial mantel test","pearson",0.472530441200852,0.001,0.0045,"**"
"8","All","sed_silt","partial mantel test","pearson",0.0334587588845844,0.319,0.495,""
"9","All","sed_clay","partial mantel test","pearson",0.424353921000548,0.001,0.0045,"**"
