function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
4.1.1.85	3-dehydro-L-gulonate-6-phosphate decarboxylase	65.0	53.0	23.0	21.0	18.0	9.33	153.0	0.0	4.0	1.0	44.0	4.0	34.0	41.24	17.0	12.0	7.0	47.0	206.0	19.41	5.91	82.83	0.0	0.0
4.1.1.86	Diaminobutyrate decarboxylase	2799.12	2354.03	2692.9700000000003	2045.35	2007.83	2629.02	6631.77	5724.59	6196.25	4905.7	3090.63	5970.05	4548.22	3433.9	3108.75	4270.360000000001	4845.9	2983.99	5490.76	4591.93	4391.57	5096.46	3673.09	4308.23
4.1.1.87	Malonyl-S-ACP decarboxylase	100.0	86.0	66.0	124.0	58.86	55.94	0.0	2.0	23.0	25.0	4.0	25.0	12.0	58.0	76.28	30.0	24.0	46.0	18.0	14.34	26.82	6.0	0.0	4.0
4.1.1.9	Malonyl-CoA decarboxylase	2012.5	2397.5	2282.9	2288.0	1465.0	2100.0	2316.5	1201.0	1871.0	1617.0	1200.0	2049.0	2859.0	3211.0	3257.5	2081.5	2464.5	2459.0	2396.0	2816.0	2424.0	2358.0	2871.0	2771.5
4.1.1.94	Ethylmalonyl-CoA decarboxylase	29.0	40.0	20.0	20.0	19.0	3.0	10.0	7.0	20.0	20.0	4.0	10.0	4.0	19.0	13.0	0.0	32.0	24.0	35.0	14.0	40.0	44.0	5.0	21.0
4.1.1.96	Carboxynorspermidine decarboxylase	4148.39	3962.43	3409.4	4435.99	4370.84	4309.01	3970.08	4663.4	4588.51	5204.2	5450.58	4217.87	3795.97	3235.0200000000004	2732.93	2910.9300000000003	3530.16	2199.74	4112.84	3972.15	3887.42	3551.18	3342.9	3330.6800000000003
4.1.1.97	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	940.07	817.9	1149.85	954.3	649.97	1086.33	1311.9	1037.5700000000002	964.77	996.73	1427.9899999999998	1179.65	1242.9	637.46	1363.4299999999998	1136.9	1127.27	914.0	1545.2	1479.26	1601.01	1077.23	3447.4	1707.0
4.1.1.98	4-hydroxy-3-polyprenylbenzoate decarboxylase	8061.77	8109.43	7101.639999999999	7590.059999999999	6734.03	4908.13	8091.889999999999	4576.25	7372.380000000001	6564.43	4839.65	9205.32	2953.2200000000003	3530.13	5474.21	2159.76	3778.74	2467.24	4726.42	4201.1900000000005	4710.57	4951.93	3341.32	5012.49
4.1.2.13	Fructose-bisphosphate aldolase	27643.78	26380.71	24994.89	25528.6	26262.77	25567.21	28474.51	27450.660000000003	27322.14	25028.5	24355.91	27468.35	27263.62	27183.17	27154.36	28775.75	26260.84	27215.65	28093.81	29300.56	29203.73	25047.42	33040.08	30448.12
4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase	10818.37	11048.83	10802.6	11680.45	10754.98	12927.62	17562.870000000003	13888.75	16293.4	13841.0	16422.77	17120.23	14374.51	12864.67	11455.04	12018.95	13357.36	10880.06	14280.64	14174.71	14231.31	12348.36	13210.97	13701.63
4.1.2.17	L-fuculose-phosphate aldolase	8853.93	8307.44	7759.41	7697.92	8692.59	7331.19	4716.1	3593.17	4692.75	4991.629999999999	3012.58	4197.47	8275.24	10230.41	9415.89	10396.5	8221.26	11074.5	7560.93	6995.42	6421.53	6641.35	8454.75	6617.18
4.1.2.19	Rhamnulose-1-phosphate aldolase	407.17	337.17	393.58	551.34	587.77	890.77	104.0	136.0	146.0	191.0	199.0	79.75	491.0	649.5	293.31	688.33	376.0	260.33	303.0	291.6	153.12	345.0	167.75	246.5
4.1.2.20	2-dehydro-3-deoxyglucarate aldolase	2720.5	3079.0	2534.5	3281.0	2177.9300000000003	2714.77	3246.5	2113.5	3092.67	2917.0	1864.5	2757.0	4198.0	3360.0	3248.64	2758.5	2803.0	3245.0	2245.33	2818.0	3008.0	2068.5	2759.0	2819.5
4.1.2.21	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	1479.17	1721.5	1775.73	2387.67	1677.1	2458.5	2993.0	1449.0	2293.5	1674.5	1264.5	2333.0	5386.84	4913.17	4215.969999999999	4181.67	3981.5	4394.0	3261.5	3786.67	4055.5	2765.5	5079.0	4252.0
4.1.2.22	Fructose-6-phosphate phosphoketolase	1437.38	1287.0	1360.5	1367.1	1025.0500000000002	1149.6	5628.91	1888.33	3860.5300000000007	1937.44	773.9100000000001	4820.17	1815.0	1326.5	1530.47	1823.5	1725.73	1710.5	2840.41	2959.5	4255.03	2010.04	4168.17	4608.05
