function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
ko:K02421	flagellar biosynthetic protein FliR	10980.86	10714.65	10314.84	9737.13	8177.26	7869.33	6316.2	5742.41	6584.79	7583.4	7243.18	6107.92	10142.52	11718.79	11297.32	10243.12	8463.759999999998	10371.98	10709.65	8444.57	8275.720000000001	8751.41	7896.9	8180.679999999999
ko:K02422	flagellar protein FliS	7911.52	7164.51	6576.299999999999	5820.3	4934.049999999999	4099.07	2265.45	2828.41	3014.79	4016.9	4863.18	2753.92	4315.35	6130.12	6252.490000000001	5736.95	3944.76	5502.98	6672.32	4268.4	3541.72	4536.41	3116.4	3739.84
ko:K02423	flagellar protein FliT	43.0	43.5	31.0	28.25	15.43	88.21000000000001	0.0	7.0	5.0	2.0	8.0	9.0	22.0	55.5	34.14	44.0	47.0	25.5	313.8	55.0	2.0	21.0	0.0	2.0
ko:K02424	L-cystine transport system substrate-binding protein	1381.5	1130.5	1304.4	1046.75	1436.08	2244.92	341.0	478.5	526.5	466.0	558.5	256.75	2924.21	3247.33	1727.06	3584.33	3281.08	3076.5	3218.4	2377.17	1534.5	1436.0	3001.0	1843.5
ko:K02425	regulator of sigma S factor FliZ	0.0	2.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko:K02426	cysteine desulfuration protein SufE	11261.6	10889.67	11282.6	12039.79	10517.15	12698.67	15480.87	16431.050000000003	15190.22	14927.830000000002	17804.21	14985.55	16081.2	14789.13	13443.4	15871.820000000002	13268.19	14388.32	15647.35	15767.28	16467.6	14943.58	15956.72	16534.329999999998
ko:K02427	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]	9972.830000000002	10521.68	9844.57	10237.3	8663.06	8558.04	6247.2	7132.910000000001	6754.87	7599.13	9234.48	6351.92	9585.22	10656.43	10510.82	7285.76	7527.01	8395.24	7763.44	7912.32	8018.22	7483.99	7597.4	7137.56
ko:K02428	XTP/dITP diphosphohydrolase [EC:3.6.1.66]	27795.35	27021.82	27056.09	25270.5	26765.460000000003	26683.06	29645.49	30055.73	30396.64	29358.47	27919.74	30807.38	29899.5	29110.17	27656.16	31555.42	31108.910000000003	30505.4	30344.71	30026.89	30337.78	29492.81	29836.49	31253.31
ko:K02429	MFS transporter, FHS family, L-fucose permease	4972.52	5262.33	5281.25	6108.89	6483.9400000000005	6797.35	5264.09	7078.139999999999	6607.37	6821.62	10317.68	6113.9	5926.9800000000005	4735.04	4875.37	5311.469999999999	4983.2	3751.83	4804.9400000000005	5859.3	5483.6	5326.57	4274.9	4813.719999999999
ko:K02430	DeoR family transcriptional regulator, L-fucose operon activator	0.0	1.0	0.0	9.0	1.43	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	74.0	8.0	0.0	17.0	0.0	0.0
ko:K02431	L-fucose mutarotase [EC:5.1.3.29]	1669.33	1563.19	1581.19	2292.0	1730.39	1799.4	2126.0	1638.0	1941.5	2428.5	1231.83	1844.75	827.5	1195.83	1507.89	1041.5	1292.0	1013.0	1926.0	1715.5	1783.0	1518.5	1671.0	1971.5
ko:K02433	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]	28992.5	29330.68	31674.02	28578.59	26729.4	30804.42	30866.41	25058.66	28455.46	26399.13	22137.88	30053.8	39993.23	38162.23	40036.07000000001	38900.9	38506.77	38365.25	34689.23	37053.600000000006	36848.79	34486.619999999995	43238.99	38485.39
ko:K02434	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]	17509.18	17590.5	17988.88	17078.93	16746.65	17127.559999999998	16735.27	15238.92	16548.68	16405.800000000003	13140.0	16679.82	18594.74	18570.41	18532.33	18113.5	18144.09	18374.75	17285.89	18393.5	18470.78	17574.27	19568.42	18657.01
ko:K02435	aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit C [EC:6.3.5.6 6.3.5.7]	17255.35	17383.17	17825.55	16803.6	16301.65	16970.73	16700.02	15137.92	16508.68	16270.8	13038.67	16608.32	18570.74	18453.08	18447.33	18089.0	18122.09	18328.75	17260.89	18370.5	18420.78	17529.27	19568.42	18629.01
ko:K02436	DeoR family transcriptional regulator, galactitol utilization operon repressor	58.0	71.0	33.0	79.0	110.0	23.0	20.0	6.0	75.0	42.0	14.0	41.0	17.0	18.0	45.0	15.0	19.0	11.0	3.0	19.0	13.0	28.0	0.0	3.0
ko:K02437	glycine cleavage system H protein	21539.59	21506.63	20395.34	20346.99	20126.14	19820.08	19344.22	20398.32	20563.63	20668.5	20232.99	19958.4	19693.21	19408.6	19860.07	19488.76	19278.85	18873.82	19663.7	19957.980000000003	19954.0	19703.53	19890.32	19993.96
ko:K02438	glycogen debranching enzyme [EC:3.2.1.196]	2397.0	2576.9	2291.2	2374.3	2353.48	3097.7	3213.7	1700.9	2276.2	1916.8	2413.2	2529.5	8684.4	8189.7	6502.74	7369.4	6915.2	7689.0	4791.93	5234.14	5276.1	3345.9	6207.4	4848.9
ko:K02439	thiosulfate sulfurtransferase [EC:2.8.1.1]	561.75	437.18	515.6700000000001	424.05	165.56	209.87	340.9	308.24	254.27	472.23	2274.5	475.65	283.55	464.6	245.07	232.76	268.01	278.74	1269.36	378.65	261.72	448.91	83.4	124.32999999999998
ko:K02440	glycerol uptake facilitator protein	4667.639999999999	3521.5	4352.97	3172.17	3462.9800000000005	4378.77	5176.33	4230.0	5596.67	4829.17	3476.53	5088.5	8068.299999999999	6677.9	6360.28	9869.36	7642.92	8265.74	8391.74	7722.929999999999	7073.620000000001	6171.93	7598.0	7045.0
ko:K02441	GlpG protein	2632.92	2878.68	2300.5	2131.69	1335.7	1194.9	998.7	1415.74	1315.47	2034.13	3213.9	1323.75	866.22	1437.8	1407.62	693.76	1085.21	903.74	1536.46	920.95	664.8199999999999	1138.06	357.05	388.23
ko:K02442	membrane protein GlpM	19.89	0.0	0.0	0.0	1.43	15.0	0.0	0.0	0.0	0.0	31.86	4.0	12.0	19.14	0.14	0.0	1.57	0.0	171.0	5.0	0.0	70.83	0.0	1.0
ko:K02443	glycerol uptake operon antiterminator	199.5	62.0	94.0	85.5	141.5	198.04	58.25	88.0	239.0	29.0	28.0	42.5	746.14	344.0	772.0	525.5	92.72	154.0	585.0	932.0	907.0	96.0	2485.0	755.0
ko:K02444	DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	4072.58	3908.18	3889.37	4807.05	3489.09	4359.2	5897.9	2881.1	4893.6	3831.5	4737.39	4753.25	6359.379999999999	6503.69	5716.89	4961.1900000000005	5086.58	5309.24	6504.02	6370.91	6364.34	5582.91	7447.4	6411.33
ko:K02445	MFS transporter, OPA family, glycerol-3-phosphate transporter	2178.39	1960.5	2061.4700000000003	1461.33	1958.27	1301.33	538.0	504.67	709.5	907.33	542.86	660.0	659.87	1680.56	1094.64	884.36	747.28	755.74	1549.76	424.26	504.71	1297.76	962.0	673.8299999999999
ko:K02446	fructose-1,6-bisphosphatase II [EC:3.1.3.11]	6364.04	5043.64	6274.08	5125.58	5680.55	7380.09	5176.75	3747.5	4512.5	3859.0	3533.03	4144.25	10786.04	10014.4	9038.64	11781.36	10068.78	11339.24	11393.62	10026.6	9658.62	8307.76	12692.0	10456.0
ko:K02448	nitric oxide reductase NorD protein	3931.08	3830.0	2880.9	3258.08	2577.33	1570.17	761.0	915.5	1252.5	1129.0	1137.0	1032.25	479.75	1664.5	1408.0	482.0	894.75	905.0	752.0	720.25	848.0	1162.25	731.0	809.5
ko:K02450	general secretion pathway protein A	11587.07	11266.93	7848.01	9767.87	8891.29	5489.21	4399.2	4170.33	5826.87	6500.96	5898.56	5890.92	3168.8	4824.469999999999	5867.35	1954.09	2771.26	2952.49	2924.7700000000004	2613.1	2998.26	2454.91	2077.65	2489.14
ko:K02451	general secretion pathway protein B	3411.4	3340.68	2290.67	2854.38	1799.46	1419.04	1340.6999999999998	1443.24	1750.87	2068.8	2812.9	1825.42	824.55	1404.31	1725.6	630.59	1001.34	970.74	1521.36	869.6	812.51	927.91	402.9	434.23
ko:K02452	general secretion pathway protein C	6837.23	6887.93	7140.42	5630.8	6018.08	4667.04	2079.45	2884.41	2660.96	3551.15	5291.23	2579.25	2540.4700000000003	4699.01	3865.6	2475.09	3037.26	2779.24	3809.26	3250.65	2880.7200000000003	4483.15	2218.65	1974.01
ko:K02453	general secretion pathway protein D	19880.67	20860.68	17906.07	17607.13	15563.32	12388.55	9422.2	13920.41	13846.04	19538.4	13234.98	11710.42	6171.72	8653.93	10079.68	5141.26	6937.509999999999	6381.24	8062.01	6758.65	6459.719999999999	11174.73	3749.4	5458.09
ko:K02454	general secretion pathway protein E [EC:7.4.2.8]	20937.91	21936.54	19337.76	17650.97	15928.83	12400.29	8750.45	13439.75	12051.05	15265.08	13593.39	10635.09	7313.89	10142.43	11393.23	6189.26	8479.009999999998	7400.24	9044.91	7893.66	7244.05	12221.21	4614.9	6023.29
ko:K02455	general secretion pathway protein F	11548.58	12280.18	10838.32	11625.3	9579.28	7847.29	4991.2	6299.41	6637.54	9032.25	9111.98	6049.92	2876.7200000000003	5016.93	6078.43	2377.76	3567.51	3552.24	4233.41	3451.15	3206.72	5187.13	1902.4	2162.46
ko:K02456	general secretion pathway protein G	22286.43	23648.93	21463.42	21294.13	19030.22	15346.46	9313.95	13397.88	14508.46	20546.0	13937.36	11991.57	4610.39	7977.68	11076.56	3683.33	6264.01	6047.74	7525.809999999999	6130.9	5259.719999999999	10917.2	2749.15	4182.57
ko:K02457	general secretion pathway protein H	9192.6	9326.18	7902.070000000001	7107.55	6677.83	4936.21	3448.2	4758.58	5312.04	6956.06	6814.06	4960.92	2551.1400000000003	4533.6	4570.59	2139.4300000000003	2817.26	3139.74	3803.51	3191.57	3159.22	4442.389999999999	2327.9	2347.26
ko:K02458	general secretion pathway protein I	11245.080000000002	11197.68	9130.09	9200.04	8967.3	6056.29	3886.7	5060.08	6139.87	7686.46	7145.31	5744.92	2721.7200000000003	4889.76	4938.43	2213.26	3073.01	3391.24	3984.36	3172.65	3270.72	4464.66	2051.9	2317.89
ko:K02459	general secretion pathway protein J	9103.51	9444.18	8200.82	7623.63	6632.66	4916.71	3558.2	4659.57	5293.71	6790.9	6641.65	4843.42	2657.2200000000003	4567.93	4845.43	2139.76	2788.51	3144.24	3854.01	3014.15	3094.22	4036.4	2199.9	2086.76
ko:K02460	general secretion pathway protein K	8362.830000000002	8599.68	7366.42	6581.8	5875.63	4242.04	3043.7	3535.91	4412.54	5532.299999999999	5968.48	4178.92	2454.3900000000003	4227.93	4365.43	1977.76	2577.01	2939.24	3406.61	2705.65	2620.7200000000003	3584.33	1747.9	1728.06
ko:K02461	general secretion pathway protein L	7827.83	7924.68	7013.42	6281.8	5626.63	4019.04	2570.7	3344.91	3668.54	4823.299999999999	5852.98	3559.59	2153.2200000000003	3869.93	4081.43	1822.76	2476.01	2864.24	3121.61	2373.32	2359.55	3366.16	1279.9	1497.56
ko:K02462	general secretion pathway protein M	5841.83	5537.68	4422.92	4741.8	4045.13	2720.54	2280.2	1869.41	2877.37	3203.63	4303.98	3023.92	1680.2200000000005	2720.4300000000003	2926.43	1240.26	1619.51	1781.24	2548.61	2079.15	2035.72	1993.66	1520.9	1155.56
ko:K02463	general secretion pathway protein N	3396.75	3353.68	3097.17	2099.05	1893.13	1834.62	1442.1999999999998	2138.24	1855.37	2579.63	4528.15	1966.75	1586.5500000000002	2103.43	2416.1	1315.59	1474.51	1698.74	2447.36	1795.65	1457.72	1908.91	1355.9	966.73
ko:K02464	general secretion pathway protein O [EC:3.4.23.43 2.1.1.-]	1581.55	1857.9	1284.28	1249.97	655.9000000000001	609.95	456.2000000000001	542.57	677.7	1002.8	1642.79	823.0	678.57	964.2	997.24	559.4	699.7	603.0	419.27	635.8	618.6	646.15	296.9	369.73
ko:K02466	glucitol operon activator protein	91.0	13.0	24.0	3.0	30.0	83.0	59.0	70.0	238.0	23.0	4.0	35.0	736.0	307.0	758.0	520.0	78.0	153.0	206.0	952.0	1067.0	103.0	2673.0	893.0
ko:K02467	arabinose 5-phosphate isomerase [EC:5.3.1.13]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0
ko:K02468	DeoR family transcriptional regulator, glucitol operon repressor	13.0	32.0	25.0	45.0	29.43	15.0	5.0	2.0	9.0	8.0	0.0	39.0	17.0	12.0	35.14	7.0	19.0	11.0	0.0	16.0	13.0	28.0	0.0	0.0
